tyd    u    v    psl
01Z30JAN2015    2.81091    -5.62648    1010.17
02Z30JAN2015    2.71768    -2.47528    1010.18
03Z30JAN2015    0.839077    -1.22598    1008.08
04Z30JAN2015    0.382246    -5.77565    1010.53
05Z30JAN2015    -2.27017    0.675923    1012.44
06Z30JAN2015    -0.936969    -6.80585    1009.35
07Z30JAN2015    2.75497    -4.22802    1009.72
08Z30JAN2015    0.428862    -6.48886    1005.02
09Z30JAN2015    -2.62445    0.792462    1001.62
10Z30JAN2015    6.74991    -1.31922    1010.54
11Z30JAN2015    7.45846    -2.28415    1018.77
12Z30JAN2015    1.50102    -1.49635    1024.38
13Z30JAN2015    10.2134    -3.34698    1024.28
14Z30JAN2015    12.148    -3.29571    1021.31
15Z30JAN2015    8.17168    -2.03709    1011.41
16Z30JAN2015    5.80828    -2.19558    1008.28
17Z30JAN2015    2.23754    -1.68748    1004.19
18Z30JAN2015    -0.0372923    -1.43575    997.122
19Z30JAN2015    -0.00932308    -7.84071    987.308
20Z30JAN2015    0.988246    0.0186462    994.443
21Z30JAN2015    -1.97183    0.554723    1004.97
22Z30JAN2015    0.275031    -6.969    1011.68
23Z30JAN2015    0.922985    -5.22092    1010.37
00Z31JAN2015    4.70815    0.895015    1009.16
01Z31JAN2015    0.344954    0.102554    1008.86
02Z31JAN2015    2.34942    5.82692    1014.62
03Z31JAN2015    0.680585    3.31902    1020.91
04Z31JAN2015    -0.466154    -0.0978923    1021.68
05Z31JAN2015    1.64086    0.0233077    1018.68
06Z31JAN2015    2.26551    3.92035    1017.53
07Z31JAN2015    1.58958    6.15323    1016.23
08Z31JAN2015    -0.130523    7.25335    1015.2
09Z31JAN2015    -0.550062    8.36746    1014.09
10Z31JAN2015    0.652615    9.02008    1012.38
11Z31JAN2015    -0.172477    9.10865    1013.29
12Z31JAN2015    -0.400892    8.48866    1018.14
13Z31JAN2015    -1.12809    7.22538    1020.49
14Z31JAN2015    0.139846    8.56325    1018.34
