tyd    u    v    psl
01Z30JAN2015    1.50102    0.783138    1010.54
02Z30JAN2015    2.96474    -1.46838    1009.74
03Z30JAN2015    3.17917    -2.37272    1008.09
04Z30JAN2015    5.85955    -1.81334    1009.58
05Z30JAN2015    3.81314    -1.76206    1012.63
06Z30JAN2015    5.80362    -1.37049    1009.47
07Z30JAN2015    1.66417    -1.818    1010.17
08Z30JAN2015    4.41914    -1.1514    1005.13
09Z30JAN2015    3.79449    -1.74808    1000.44
10Z30JAN2015    2.34475    -3.70126    1009.94
11Z30JAN2015    3.12789    -2.94143    1019.21
12Z30JAN2015    0.172477    -4.13478    1023.35
13Z30JAN2015    3.95298    -1.88326    1023.34
14Z30JAN2015    4.59162    -2.38205    1020.36
15Z30JAN2015    4.94589    -1.9392    1010.6
16Z30JAN2015    0.769154    0.191123    1007.51
17Z30JAN2015    1.05817    0.0606    1003.58
18Z30JAN2015    3.41691    -0.0745846    996.644
19Z30JAN2015    3.44022    -0.358938    986.786
20Z30JAN2015    3.23977    -0.1212    993.468
21Z30JAN2015    3.90637    1.86928    1004.7
22Z30JAN2015    3.76186    2.31212    1010.95
23Z30JAN2015    2.47528    -0.391569    1009.31
00Z31JAN2015    4.04622    0.750508    1007.94
01Z31JAN2015    1.20268    0.270369    1008.1
02Z31JAN2015    4.64289    2.41002    1013.87
03Z31JAN2015    2.88083    0.9696    1020.25
04Z31JAN2015    2.39603    0.386908    1020.78
05Z31JAN2015    3.00203    -2.09303    1016.22
06Z31JAN2015    2.68505    -0.895015    1014.84
07Z31JAN2015    2.04642    -1.40312    1012.75
08Z31JAN2015    2.27017    -1.94852    1011.99
09Z31JAN2015    3.22112    -0.526754    1010.19
10Z31JAN2015    2.92278    0.647954    1009.27
11Z31JAN2015    4.59162    0.685246    1009.14
12Z31JAN2015    4.94589    0.219092    1014.03
13Z31JAN2015    5.0298    0.778477    1017.12
14Z31JAN2015    5.06243    1.43109    1014.05
15Z31JAN2015    4.545    1.59891    1009.56
16Z31JAN2015    2.32611    2.10235    1007.04
17Z31JAN2015    1.32854    1.65018    1002.92
