tyd    u    v    psl
01Z30JAN2015    5.35145    -5.56588    1009.88
02Z30JAN2015    3.38894    -6.14857    1009.8
03Z30JAN2015    2.48926    -5.97609    1007.92
04Z30JAN2015    2.15829    -5.40738    1009.07
05Z30JAN2015    4.89462    -6.29774    1011.55
06Z30JAN2015    3.36563    -5.51926    1008.61
07Z30JAN2015    6.55878    -3.56142    1009.75
08Z30JAN2015    6.19518    -4.93191    1003.99
09Z30JAN2015    7.66823    -4.89462    1000.13
10Z30JAN2015    8.73572    -4.13012    1010.12
11Z30JAN2015    9.0294    -2.41468    1019.02
12Z30JAN2015    10.274    -3.20714    1023.09
13Z30JAN2015    12.7307    -4.21869    1023.56
14Z30JAN2015    12.409    -5.44468    1021.05
15Z30JAN2015    13.7748    -4.15343    1010.09
16Z30JAN2015    10.9127    -5.51926    1006.41
17Z30JAN2015    7.5144    -4.7268    1003.18
18Z30JAN2015    4.57297    -4.46575    995.326
19Z30JAN2015    4.25598    -4.06952    985.872
20Z30JAN2015    2.83888    -3.65931    993.66
21Z30JAN2015    5.37942    -3.89238    1003.76
22Z30JAN2015    3.82712    -4.4238    1010.77
23Z30JAN2015    5.43535    -3.41225    1009.3
00Z31JAN2015    4.76875    -4.89928    1008.07
01Z31JAN2015    4.91792    -2.03243    1008.22
02Z31JAN2015    5.47731    -3.11391    1013.53
03Z31JAN2015    4.02757    -3.91103    1019.76
04Z31JAN2015    2.63377    -3.92502    1021.57
05Z31JAN2015    0.372923    -3.01135    1016.99
06Z31JAN2015    1.30523    -2.41468    1015.75
07Z31JAN2015    0.228415    -2.62445    1014.21
08Z31JAN2015    1.6362    -2.82955    1013.1
09Z31JAN2015    1.3938    -3.20248    1011.76
10Z31JAN2015    2.17694    -2.82955    1010.29
11Z31JAN2015    2.91346    -1.24463    1011.29
12Z31JAN2015    3.8178    -1.31455    1016.43
13Z31JAN2015    5.78031    -2.75963    1019.11
14Z31JAN2015    5.37942    -3.57074    1016.6
15Z31JAN2015    2.25618    -0.853062    1011.51
16Z31JAN2015    1.92055    -1.11877    1008.86
17Z31JAN2015    0.708554    -0.9696    1004.31
18Z31JAN2015    -2.64309    -2.3634    1006.02
19Z31JAN2015    -2.121    -0.978923    1013.31
20Z31JAN2015    -2.6664    -1.97649    1017.25
21Z31JAN2015    -2.88083    -2.83888    1016.28
22Z31JAN2015    -3.53811    -2.13032    1015.78
23Z31JAN2015    -2.91346    -1.67815    1015.99
00Z01FEB2015    -2.80625    -1.98115    1016.62
01Z01FEB2015    -1.53365    -0.909    1015.99
02Z01FEB2015    -2.79692    -0.881031    1016.5
03Z01FEB2015    -2.46129    -1.29591    1014.46
04Z01FEB2015    -2.19558    -0.722538    1012.64
05Z01FEB2015    -3.58006    -1.61289    1011.16
06Z01FEB2015    -3.09526    -2.05574    1008.2
07Z01FEB2015    -4.20937    -1.74342    1002.23
08Z01FEB2015    -2.87617    0.722538    1000.6
09Z01FEB2015    -2.19092    2.79226    1002.83
10Z01FEB2015    -2.57783    3.03466    1007.55
11Z01FEB2015    -4.30726    3.12323    1010.69
12Z01FEB2015    -5.89685    2.39137    1009.34
13Z01FEB2015    -6.70795    2.99737    1005.14
14Z01FEB2015    -6.59142    2.43798    1002.95
15Z01FEB2015    -6.04135    1.91589    1001.15
16Z01FEB2015    -4.29328    0.806446    999.615
17Z01FEB2015    -3.34698    1.32388    998.993
18Z01FEB2015    -3.78051    -1.70612    1000.27
19Z01FEB2015    -2.95075    -1.20268    1002.15
20Z01FEB2015    -4.38185    -1.44974    1003.28
21Z01FEB2015    -2.82489    -2.34475    1004.9
22Z01FEB2015    -3.76652    -1.53831    1006.87
23Z01FEB2015    -3.71525    -1.06749    1006.7
00Z02FEB2015    -1.82266    -1.17937    1007.76
01Z02FEB2015    -1.90191    -3.25842    1007.32
02Z02FEB2015    -2.05108    -4.09283    1006.26
03Z02FEB2015    -1.4544    -3.82712    1003.98
04Z02FEB2015    -1.75274    -2.92745    1001.68
05Z02FEB2015    2.29348    -2.47528    998.769
06Z02FEB2015    1.7574    -3.26308    996.892
07Z02FEB2015    2.57783    -2.58249    997.141
08Z02FEB2015    2.21423    -2.07438    1000.16
09Z02FEB2015    3.333    -1.10012    1002.69
10Z02FEB2015    3.99028    -1.36583    1004.75
11Z02FEB2015    6.18586    -2.62911    1006.15
12Z02FEB2015    6.22782    -2.71302    1006.82
13Z02FEB2015    5.40272    -1.13275    1006.97
14Z02FEB2015    3.89705    1.79935    1005.65
15Z02FEB2015    2.6664    3.97629    1003.4
16Z02FEB2015    3.2724    3.10458    1002.65
17Z02FEB2015    1.93454    2.19092    1002.8
18Z02FEB2015    -2.6664    -1.51034    1002.76
19Z02FEB2015    -0.913662    -3.47285    1002.64
20Z02FEB2015    0.517431    -4.35854    1001.28
21Z02FEB2015    -0.722538    -4.35854    1001.35
22Z02FEB2015    -2.58715    -3.77585    1001.98
23Z02FEB2015    -0.731862    -4.50305    1003.1
00Z03FEB2015    -1.33786    -4.35388    1003.65
01Z31JAN2015    8.69377    -5.72437    1012.09
02Z31JAN2015    7.81274    -5.57986    1010.96
03Z31JAN2015    6.22782    -4.18606    1012.01
04Z31JAN2015    5.16032    -4.33989    1009.75
05Z31JAN2015    6.21383    -4.05554    1016.83
06Z31JAN2015    4.88063    -3.64998    1012.99
07Z31JAN2015    5.46798    -3.38428    1010.75
08Z31JAN2015    6.34435    -3.03    1012.69
09Z31JAN2015    6.12526    -3.12789    1019.17
10Z31JAN2015    7.36989    -3.50548    1025.29
11Z31JAN2015    7.1508    -4.44245    1027.32
12Z31JAN2015    9.41165    -5.43535    1028.12
13Z31JAN2015    7.42117    -4.27929    1024.38
14Z31JAN2015    6.52615    -3.68262    1022.47
15Z31JAN2015    5.95745    -2.02777    1018.52
16Z31JAN2015    4.56831    1.17471    1013.19
17Z31JAN2015    2.61046    1.52432    1011
18Z31JAN2015    0.475477    -1.89725    1006.1
19Z31JAN2015    -3.07195    -1.30057    1001.91
20Z31JAN2015    -2.51723    -1.47771    1000.86
21Z31JAN2015    -2.79692    -1.16538    1005.31
22Z31JAN2015    -2.24686    -1.54297    1009.52
23Z31JAN2015    -2.76429    -1.48703    1011.16
00Z01FEB2015    -1.91589    -4.68485    1011.26
01Z01FEB2015    -0.685246    -0.5454    1015.09
02Z01FEB2015    2.75497    -2.55452    1016.78
03Z01FEB2015    5.05777    -2.79692    1019.17
04Z01FEB2015    3.20714    -2.96008    1020.21
05Z01FEB2015    -2.00446    -2.7876    1020.45
06Z01FEB2015    -2.70369    -2.41468    1019.19
07Z01FEB2015    -2.31678    -1.46838    1020.72
08Z01FEB2015    -3.86442    -1.49169    1021.54
09Z01FEB2015    -4.01358    0.0839077    1018.62
10Z01FEB2015    -3.12789    1.65018    1016.4
11Z01FEB2015    -3.38428    1.53365    1014.24
12Z01FEB2015    -4.33989    2.20025    1014.33
13Z01FEB2015    -4.34455    0.582692    1013
14Z01FEB2015    -3.08128    -0.0419538    1012.09
15Z01FEB2015    -0.633969    2.62445    1009.72
16Z01FEB2015    -1.01155    3.07662    1007.18
17Z01FEB2015    -0.647954    0.582692    1006.53
18Z01FEB2015    -0.522092    -1.4544    1007.89
19Z01FEB2015    0.177138    -1.34252    1009.54
20Z01FEB2015    -1.19335    -1.99048    1013.31
21Z01FEB2015    -2.85286    -3.29105    1013.67
22Z01FEB2015    -1.92988    -3.15586    1013.89
23Z01FEB2015    -1.17471    -1.72011    1013.7
00Z02FEB2015    -1.98582    -1.81334    1013.04
01Z02FEB2015    -1.72011    -0.927646    1011.78
02Z02FEB2015    -2.28415    -1.21666    1008.71
03Z02FEB2015    -1.07215    -0.764492    1007.34
04Z02FEB2015    -0.321646    -1.6362    1005.06
05Z02FEB2015    0.489462    -0.191123    1003.64
06Z02FEB2015    -1.05351    -1.35185    1002.01
07Z02FEB2015    -2.80625    -2.15829    999.863
08Z02FEB2015    -3.07662    -2.11168    998.142
09Z02FEB2015    -4.43312    -1.94386    998.825
10Z02FEB2015    -0.1818    1.02088    1001.09
11Z02FEB2015    0.0279692    2.65708    1002.74
12Z02FEB2015    -0.759831    2.37738    1002.59
13Z02FEB2015    -0.4242    2.91812    1001.24
14Z02FEB2015    -0.0512769    3.5754    999.503
15Z02FEB2015    0.405554    3.77118    998.869
16Z02FEB2015    -1.46372    0.5454    999.124
17Z02FEB2015    -0.275031    -3.06263    999.03
18Z02FEB2015    -0.661938    -4.29794    1000.62
19Z02FEB2015    -0.834415    -3.73855    1002.69
20Z02FEB2015    -3.87374    -0.470815    1003.75
21Z02FEB2015    -4.13478    -0.936969    1003.95
22Z02FEB2015    -4.04155    -1.50102    1004.25
23Z02FEB2015    -2.19558    -2.82489    1002.82
00Z03FEB2015    -1.23997    -3.02068    1002.23
01Z03FEB2015    -1.37982    -1.84597    1001.07
02Z03FEB2015    -0.550062    -1.43575    999.366
03Z03FEB2015    0.335631    -2.29348    997.825
04Z03FEB2015    -0.312323    -3.09526    996.445
05Z03FEB2015    3.27706    -3.38894    996.202
06Z03FEB2015    5.31882    -2.04175    996.004
07Z03FEB2015    5.2116    -2.29348    996.184
08Z03FEB2015    5.46798    -1.79935    998.03
09Z03FEB2015    6.95502    -2.91346    1000.93
10Z03FEB2015    7.56102    -3.24443    1003.23
11Z03FEB2015    7.77078    -3.69194    1004.78
12Z03FEB2015    7.36989    -3.17917    1005.95
13Z03FEB2015    6.41894    -1.73875    1006.06
14Z03FEB2015    2.9694    2.27483    1005.76
15Z03FEB2015    2.25152    -0.0792462    1004.06
16Z03FEB2015    2.4846    -0.135185    1003.2
17Z03FEB2015    2.74565    -1.54763    1001.7
18Z03FEB2015    2.38205    -3.19782    1001.78
19Z03FEB2015    3.65931    -1.12809    1001.39
20Z03FEB2015    3.26774    -2.83888    1001.12
21Z03FEB2015    1.51966    -4.02757    1001.7
22Z03FEB2015    -0.382246    -3.68728    1000.72
23Z03FEB2015    2.5452    -3.23977    1000.98
00Z04FEB2015    -2.53588    -2.43332    1001.49
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
