tyd    u    v    psl
01Z30JAN2015    -1.85529    0.652615    1009.68
02Z30JAN2015    0.442846    0.950954    1009.75
03Z30JAN2015    0.233077    0.0652615    1007.43
04Z30JAN2015    -0.0559385    0.466154    1009.42
05Z30JAN2015    -0.442846    -1.47305    1011.6
06Z30JAN2015    2.84354    -3.14188    1007.87
07Z30JAN2015    1.01155    -2.61512    1008.96
08Z30JAN2015    3.1512    -3.34232    1003.97
09Z30JAN2015    2.19558    -1.46372    999.956
10Z30JAN2015    2.9088    -1.20734    1009.34
11Z30JAN2015    6.03669    -5.85489    1017.27
12Z30JAN2015    7.31862    -3.58472    1022.67
13Z30JAN2015    8.0598    -2.25618    1022.87
14Z30JAN2015    8.0598    -0.368262    1020.08
15Z30JAN2015    8.01785    -0.0559385    1010.6
16Z30JAN2015    3.32834    -1.58958    1007.72
17Z30JAN2015    4.56831    -3.01135    1003.74
18Z30JAN2015    1.58958    -2.89948    995.923
19Z30JAN2015    -0.303    0.7272    986.867
20Z30JAN2015    0.853062    -2.87151    993.915
21Z30JAN2015    1.31922    -2.43332    1004.59
22Z30JAN2015    1.01622    -2.34009    1011.37
23Z30JAN2015    -0.717877    2.08371    1009.88
00Z31JAN2015    1.84131    0.0372923    1008.41
01Z31JAN2015    0.997569    0.284354    1008.52
02Z31JAN2015    -2.06506    0.717877    1014.05
03Z31JAN2015    -1.08614    0.0745846    1020.51
04Z31JAN2015    0.517431    -0.885692    1021.54
05Z31JAN2015    -0.764492    -0.358938    1018.3
06Z31JAN2015    -0.633969    1.58026    1017.11
07Z31JAN2015    -0.256385    0.466154    1015.28
08Z31JAN2015    -0.568708    3.29571    1014.5
09Z31JAN2015    -1.37982    4.49372    1013.38
10Z31JAN2015    -0.960277    4.71748    1011.72
11Z31JAN2015    -0.470815    4.47508    1012.58
12Z31JAN2015    0.0652615    4.44245    1017.33
13Z31JAN2015    -0.638631    4.19072    1019.85
14Z31JAN2015    -1.17005    5.14634    1017.78
15Z31JAN2015    -0.899677    5.17431    1013.02
16Z31JAN2015    -1.17937    6.15789    1010.9
17Z31JAN2015    -0.536077    7.0902    1006.56
18Z31JAN2015    -0.438185    6.89442    1009.12
19Z31JAN2015    -1.34718    5.6964    1015.28
20Z31JAN2015    -1.10945    5.35145    1019.6
21Z31JAN2015    -0.652615    4.27463    1018.7
22Z31JAN2015    -1.77605    4.21869    1018.17
23Z31JAN2015    -2.07438    1.05817    1017.86
00Z01FEB2015    -2.97406    0.191123    1019.01
01Z01FEB2015    -2.45197    0.522092    1018.02
02Z01FEB2015    -0.792462    -0.214431    1018.55
03Z01FEB2015    1.15606    -0.741185    1016.65
