tyd    u    v    psl
01Z30JAN2015    0.125862    -2.5452    1011.21
02Z30JAN2015    0.107215    -1.41245    1011.04
03Z30JAN2015    0.0745846    -1.79469    1009.45
04Z30JAN2015    0.0885692    -1.92988    1011.37
05Z30JAN2015    0.125862    -1.43109    1013.8
06Z30JAN2015    -0.825092    -3.42157    1011
07Z30JAN2015    -0.568708    -3.52412    1011.07
08Z30JAN2015    1.22598    -2.93211    1006.17
09Z30JAN2015    1.84597    -2.14897    1001.24
10Z30JAN2015    1.83665    -2.61046    1010.8
11Z30JAN2015    2.21423    -2.57783    1019.57
12Z30JAN2015    3.34698    -4.242    1023.61
13Z30JAN2015    2.9694    -0.899677    1023.76
14Z30JAN2015    2.01845    0.4848    1021.63
15Z30JAN2015    2.92745    0.368262    1011.15
16Z30JAN2015    3.23045    2.80158    1008.16
17Z30JAN2015    3.65465    1.8786    1004.74
18Z30JAN2015    1.30523    0.699231    997.16
19Z30JAN2015    1.56628    -0.0606    988.514
20Z30JAN2015    1.92988    -0.759831    994.854
21Z30JAN2015    0.405554    -0.0279692    1005.91
22Z30JAN2015    0.0559385    -0.554723    1012.71
23Z30JAN2015    0.330969    -0.983585    1011.07
00Z31JAN2015    0.130523    -0.303    1009.71
01Z31JAN2015    0.0699231    -0.0233077    1009.45
02Z31JAN2015    0.0279692    -0.335631    1015.26
03Z31JAN2015    0.0279692    0.447508    1021.63
04Z31JAN2015    0.228415    -0.2424    1022.59
05Z31JAN2015    0.936969    -0.573369    1018.2
06Z31JAN2015    0.494123    0.0652615    1016.45
07Z31JAN2015    1.29125    0.503446    1014.69
08Z31JAN2015    2.25618    1.13742    1013.66
09Z31JAN2015    3.1512    2.54054    1011.6
10Z31JAN2015    4.21403    2.20491    1010.4
11Z31JAN2015    4.39583    1.9998    1010.3
12Z31JAN2015    4.88529    2.15363    1015.11
13Z31JAN2015    4.49838    1.81334    1018.29
14Z31JAN2015    4.82469    1.85529    1015.2
15Z31JAN2015    4.47042    2.77828    1010.12
16Z31JAN2015    4.31658    3.0906    1008.25
17Z31JAN2015    4.07418    2.33543    1004.18
18Z31JAN2015    2.48926    1.1514    1006.75
19Z31JAN2015    1.06749    -0.00932308    1013.02
20Z31JAN2015    0.452169    -0.396231    1017.99
21Z31JAN2015    0.615323    -0.326308    1016.71
22Z31JAN2015    0.447508    -0.0139846    1015.76
23Z31JAN2015    0.559385    -0.4242    1015.99
00Z01FEB2015    0.428862    -0.508108    1016.68
01Z01FEB2015    0.428862    -0.5454    1015.86
02Z01FEB2015    0.358938    -0.587354    1016.2
03Z01FEB2015    0.647954    -0.876369    1014
04Z01FEB2015    0.247062    -0.978923    1012.58
05Z01FEB2015    0.298338    -0.722538    1011.37
06Z01FEB2015    0.843738    -0.0233077    1008.5
07Z01FEB2015    1.05817    0.340292    1002.8
08Z01FEB2015    1.27726    0.428862    999.385
09Z01FEB2015    1.65485    0.685246    1000.96
10Z01FEB2015    2.06972    1.43575    1005.12
11Z01FEB2015    2.75031    1.98582    1007.77
12Z01FEB2015    2.99271    1.49169    1007
13Z01FEB2015    3.78983    2.27017    1002.62
14Z01FEB2015    4.18606    2.07438    1000.62
15Z01FEB2015    4.49372    2.57317    999.024
16Z01FEB2015    4.71748    2.33077    997.346
17Z01FEB2015    4.43778    2.14431    997.514
18Z01FEB2015    2.50791    0.601338    998.62
19Z01FEB2015    1.44508    -1.00223    999.559
20Z01FEB2015    0.209769    -0.391569    1002.47
21Z01FEB2015    0.820431    -0.223754    1003.9
22Z01FEB2015    0.111877    -0.4242    1006.39
23Z01FEB2015    0.111877    -0.843738    1006.2
00Z02FEB2015    1.23065    -0.839077    1006.61
01Z02FEB2015    0.419538    -0.638631    1007.02
02Z02FEB2015    0.5454    -0.498785    1005.65
03Z02FEB2015    0.163154    -0.396231    1003.41
04Z02FEB2015    -0.149169    -0.195785    1001.81
05Z02FEB2015    0.298338    -0.135185    998.919
06Z02FEB2015    1.08614    -0.186462    997.11
07Z02FEB2015    1.67815    -0.135185    997.738
08Z02FEB2015    1.58026    -0.167815    1000.52
09Z02FEB2015    2.24686    -0.0839077    1002.42
10Z02FEB2015    2.87151    0.619985    1003.68
11Z02FEB2015    2.99271    0.992908    1004.67
12Z02FEB2015    3.27706    2.12566    1005.3
13Z02FEB2015    5.57054    2.84354    1005.38
14Z02FEB2015    5.66377    3.02068    1004.27
15Z02FEB2015    4.70815    3.85509    1002.27
16Z02FEB2015    5.18363    3.79449    1001.83
17Z02FEB2015    4.06486    3.19315    1002.42
18Z02FEB2015    3.62202    2.121    1002.06
19Z02FEB2015    1.6362    -0.0326308    1001.88
20Z02FEB2015    1.30989    -0.470815    1001.31
21Z02FEB2015    0.4242    -0.992908    1001.66
22Z02FEB2015    0.885692    -1.36117    1002.06
23Z02FEB2015    1.11411    -1.44974    1002.93
00Z03FEB2015    0.750508    -0.825092    1003.7
01Z31JAN2015    -0.582692    -4.56365    1014.46
02Z31JAN2015    -1.85529    -5.18363    1014.15
03Z31JAN2015    -0.680585    -3.16985    1014.27
04Z31JAN2015    -2.16762    -3.00669    1011.13
05Z31JAN2015    0.303    -0.797123    1017.89
06Z31JAN2015    1.65018    -1.55229    1014.43
07Z31JAN2015    0.466154    -0.759831    1011.69
08Z31JAN2015    0.867046    0.275031    1013.29
09Z31JAN2015    2.47994    0.820431    1018.83
10Z31JAN2015    4.16275    0.997569    1024.36
11Z31JAN2015    4.38651    0.568708    1026.58
12Z31JAN2015    4.16742    1.71545    1028.53
13Z31JAN2015    5.18363    3.2118    1024.23
14Z31JAN2015    4.49372    3.00669    1021.69
