tyd    u    v    psl
01Z30JAN2015    8.74505    -2.71302    1009.58
02Z30JAN2015    10.8241    -2.92745    1009.43
03Z30JAN2015    12.9125    -4.17674    1007.1
04Z30JAN2015    13.3367    -5.28618    1009.21
05Z30JAN2015    13.015    -4.73146    1011.82
06Z30JAN2015    14.1058    -6.16722    1008.04
07Z30JAN2015    13.5231    -6.88043    1009.09
08Z30JAN2015    13.8075    -4.67086    1003.99
09Z30JAN2015    11.1224    -1.97183    1000.85
10Z30JAN2015    15.6674    -4.39117    1010
11Z30JAN2015    14.2923    -1.98115    1018.09
12Z30JAN2015    14.2224    -4.62891    1023.69
13Z30JAN2015    13.9147    -3.66863    1024.24
14Z30JAN2015    15.0055    -2.19092    1020.54
15Z30JAN2015    15.9425    -2.08371    1010.62
16Z30JAN2015    10.9033    0.689908    1008.28
17Z30JAN2015    12.6234    0.899677    1003.84
18Z30JAN2015    13.2574    -0.685246    996.115
19Z30JAN2015    12.0827    -3.04865    986.674
20Z30JAN2015    11.2436    -3.07662    994.021
21Z30JAN2015    9.83585    -3.21646    1004.2
22Z30JAN2015    10.1388    -3.58006    1011.36
23Z30JAN2015    9.57014    -5.42137    1009.8
00Z31JAN2015    10.4558    -3.5148    1008.23
01Z31JAN2015    8.96414    -1.2726    1008.71
02Z31JAN2015    7.59365    4.04155    1014.18
03Z31JAN2015    8.07378    5.12303    1020.6
04Z31JAN2015    4.29328    3.636    1021.62
05Z31JAN2015    4.47042    4.09283    1018.57
06Z31JAN2015    5.30483    4.65222    1017.62
07Z31JAN2015    3.17451    6.21849    1016.09
08Z31JAN2015    -0.177138    6.19518    1015.57
09Z31JAN2015    -0.685246    6.41894    1014
10Z31JAN2015    -0.438185    5.15566    1012.57
11Z31JAN2015    0.400892    6.58209    1013.31
12Z31JAN2015    0.158492    7.42583    1018.09
13Z31JAN2015    -0.745846    6.11594    1020.61
14Z31JAN2015    -0.9696    6.01338    1018.35
15Z31JAN2015    -1.02088    7.98055    1013.54
16Z31JAN2015    -0.867046    7.88266    1011.4
17Z31JAN2015    -1.64552    7.56102    1007.25
18Z31JAN2015    -2.93211    6.13925    1009.67
19Z31JAN2015    -2.27483    7.52372    1015.36
20Z31JAN2015    -1.40312    7.70086    1019.95
21Z31JAN2015    -1.73409    7.0296    1018.75
22Z31JAN2015    -2.21889    7.30929    1018.38
23Z31JAN2015    -4.53102    5.83625    1018.55
00Z01FEB2015    -4.99717    6.07865    1018.83
01Z01FEB2015    -5.43535    6.33503    1017.66
02Z01FEB2015    -6.10662    5.12303    1018.42
03Z01FEB2015    -6.79652    4.29794    1016.27
04Z01FEB2015    -6.62871    2.68971    1014.54
05Z01FEB2015    -5.5146    2.75963    1013.23
06Z01FEB2015    -5.84091    3.15586    1010.8
07Z01FEB2015    -5.91083    4.67552    1005
08Z01FEB2015    -5.70572    7.54703    1002.36
09Z01FEB2015    -6.33037    5.17431    1004.2
10Z01FEB2015    -6.40029    7.49109    1008.76
11Z01FEB2015    -5.44002    7.50974    1012.48
12Z01FEB2015    -6.52615    7.38854    1011.28
13Z01FEB2015    -6.12992    8.2416    1006.7
14Z01FEB2015    -5.68242    7.55169    1004.69
15Z01FEB2015    -6.363    7.50974    1002.25
16Z01FEB2015    -6.98298    7.6962    1001.42
17Z01FEB2015    -6.79186    7.17877    1000.91
18Z01FEB2015    -5.78031    6.17654    1001.67
19Z01FEB2015    -6.05534    7.37455    1003.58
20Z01FEB2015    -5.82692    7.18809    1004.11
21Z01FEB2015    -6.81983    7.02028    1007.51
22Z01FEB2015    -6.32571    5.9994    1008.02
23Z01FEB2015    -6.99697    4.95522    1008.07
00Z02FEB2015    -6.85246    3.64066    1008.78
01Z02FEB2015    -6.01805    2.04175    1008.72
02Z02FEB2015    -3.41691    -0.316985    1007.3
03Z02FEB2015    -2.74565    -0.0326308    1004.26
