tyd    u    v    psl
01Z30JAN2015    4.50771    -0.111877    1011.04
02Z30JAN2015    3.69194    -0.745846    1011.11
03Z30JAN2015    3.74788    -1.22598    1009.64
04Z30JAN2015    4.40982    -1.06283    1010.98
05Z30JAN2015    3.93434    -0.913662    1014.3
06Z30JAN2015    3.17917    -1.11877    1010.53
07Z30JAN2015    1.91589    -1.08148    1011.11
08Z30JAN2015    2.63377    -1.64086    1006
09Z30JAN2015    2.87617    -1.03952    1001.13
10Z30JAN2015    4.03223    -1.58958    1010.72
11Z30JAN2015    5.07175    -2.57783    1019.38
12Z30JAN2015    5.69174    -2.48926    1024.39
13Z30JAN2015    7.2114    -1.98582    1023.89
14Z30JAN2015    7.18809    -1.70612    1021.47
15Z30JAN2015    9.78923    -2.94609    1011.34
16Z30JAN2015    7.46778    -0.685246    1008.29
17Z30JAN2015    2.88549    1.16538    1005.15
18Z30JAN2015    3.35165    -0.9696    997.265
19Z30JAN2015    4.20471    -1.49635    988.085
20Z30JAN2015    4.36786    -1.70612    994.692
21Z30JAN2015    5.16032    -1.94852    1006.1
22Z30JAN2015    4.70815    -1.37049    1012.39
23Z30JAN2015    4.21403    -2.15363    1011.08
00Z31JAN2015    4.34922    -2.01845    1009.29
01Z31JAN2015    5.50994    -0.899677    1009.66
02Z31JAN2015    1.76672    -0.167815    1015.36
03Z31JAN2015    0.797123    0.0512769    1021.37
04Z31JAN2015    1.87394    -0.0559385    1022.23
05Z31JAN2015    1.81334    -0.153831    1018.19
06Z31JAN2015    2.27017    -0.200446    1016.71
07Z31JAN2015    3.97629    -1.45906    1014.61
08Z31JAN2015    5.36077    -0.568708    1013.46
09Z31JAN2015    5.50062    1.69214    1011.42
10Z31JAN2015    6.13458    1.99514    1009.9
11Z31JAN2015    6.64269    2.53588    1010.36
12Z31JAN2015    7.14614    2.91346    1015.27
13Z31JAN2015    6.7266    1.72943    1017.75
14Z31JAN2015    7.39786    2.47994    1015.67
15Z31JAN2015    6.95502    3.85975    1010.56
16Z31JAN2015    4.82469    3.94366    1008.06
17Z31JAN2015    4.04622    4.22335    1003.74
18Z31JAN2015    4.41914    3.77118    1006.48
19Z31JAN2015    2.86218    2.03243    1012.69
20Z31JAN2015    3.92968    1.48703    1017.55
21Z31JAN2015    3.91569    0.941631    1016.43
22Z31JAN2015    1.89725    -0.592015    1015.62
23Z31JAN2015    4.72214    2.85286    1015.75
00Z01FEB2015    4.40515    2.3028    1016.54
01Z01FEB2015    3.13722    1.97649    1015.76
02Z01FEB2015    1.95785    -0.829754    1016.21
03Z01FEB2015    3.61735    -1.32854    1013.51
04Z01FEB2015    4.06952    -1.55229    1012.03
05Z01FEB2015    3.28172    -1.49635    1011.54
06Z01FEB2015    2.33543    -0.801785    1008.44
07Z01FEB2015    1.72943    -0.349615    1003.1
08Z01FEB2015    2.04642    -0.731862    999.745
09Z01FEB2015    2.13032    -0.186462    1000.87
10Z01FEB2015    2.12566    -0.279692    1005.41
11Z01FEB2015    3.59871    1.20268    1008.29
12Z01FEB2015    4.22335    1.70146    1006.92
13Z01FEB2015    4.3632    2.04175    1002.67
14Z01FEB2015    4.68951    2.53588    1000.76
15Z01FEB2015    4.80605    2.18626    998.974
16Z01FEB2015    5.12769    2.13965    997.514
17Z01FEB2015    5.52392    4.03689    997.352
18Z01FEB2015    3.73855    1.9998    998.825
19Z01FEB2015    2.71768    -0.643292    1000.46
20Z01FEB2015    3.62668    -2.39137    1001.76
21Z01FEB2015    3.89705    -2.06506    1003.99
22Z01FEB2015    2.40069    -0.470815    1006.56
23Z01FEB2015    1.46372    3.23045    1005.92
00Z02FEB2015    0.564046    1.515    1006.49
01Z02FEB2015    3.4542    -1.54763    1006.73
02Z02FEB2015    2.94609    -0.773815    1005.97
03Z02FEB2015    2.92278    -0.433523    1003.42
04Z02FEB2015    2.65708    -0.414877    1001.19
05Z02FEB2015    2.21889    -0.340292    998.713
06Z02FEB2015    1.80402    -0.913662    996.954
07Z02FEB2015    2.79226    -1.22598    997.495
08Z02FEB2015    4.06486    -1.23531    1000.08
09Z02FEB2015    3.92502    -1.17937    1002.26
10Z02FEB2015    4.13478    0.172477    1003.48
11Z02FEB2015    4.79672    1.13742    1005.15
12Z02FEB2015    5.37942    2.21889    1005.83
13Z02FEB2015    6.46089    3.07195    1005.76
14Z02FEB2015    7.30463    3.71525    1004.36
15Z02FEB2015    6.72194    4.67086    1002.27
16Z02FEB2015    5.16032    4.62891    1001.54
17Z02FEB2015    4.58229    5.32814    1001.59
18Z02FEB2015    1.76672    0.936969    1001.9
19Z02FEB2015    3.92035    -2.15363    1002.03
20Z02FEB2015    4.64755    -1.60823    1001.05
21Z02FEB2015    3.30969    -1.42177    1001.17
22Z02FEB2015    2.50791    -1.83198    1001.98
23Z02FEB2015    2.73166    -2.12566    1002.88
00Z03FEB2015    3.28172    -2.00912    1003.05
01Z31JAN2015    -0.647954    -2.04642    1014.36
02Z31JAN2015    -2.07438    -4.46109    1014.07
03Z31JAN2015    -0.0932308    -0.890354    1014.54
04Z31JAN2015    2.29814    0.867046    1011.63
05Z31JAN2015    3.49149    -0.414877    1018.39
06Z31JAN2015    4.78274    -1.46372    1014.21
07Z31JAN2015    4.50305    -1.46838    1011.75
08Z31JAN2015    4.20471    -1.28658    1013
09Z31JAN2015    4.50305    -0.568708    1018.54
10Z31JAN2015    5.87354    1.55695    1024.29
11Z31JAN2015    6.27443    2.33077    1027.04
12Z31JAN2015    5.90617    2.99271    1028.45
13Z31JAN2015    5.70572    2.28415    1024.91
14Z31JAN2015    7.71018    3.73389    1021.87
15Z31JAN2015    7.86868    4.51237    1018.18
16Z31JAN2015    6.32105    5.38874    1013.36
17Z31JAN2015    4.47974    4.69883    1011.19
18Z31JAN2015    2.94143    3.88772    1005.76
19Z31JAN2015    1.33786    4.79206    1001.26
20Z31JAN2015    2.70835    3.41225    1000.56
21Z31JAN2015    2.44265    3.72923    1005.78
22Z31JAN2015    1.40778    3.43089    1009.93
23Z31JAN2015    -0.736523    5.74768    1010.62
00Z01FEB2015    4.14411    -0.741185    1011.59
01Z01FEB2015    3.24443    -0.410215    1015.18
02Z01FEB2015    3.35631    -0.396231    1017.96
03Z01FEB2015    2.18626    -0.293677    1021.07
04Z01FEB2015    2.20957    -0.233077    1021.64
05Z01FEB2015    1.36117    -0.358938    1021.28
06Z01FEB2015    2.00446    -0.671262    1020.02
07Z01FEB2015    1.89725    -0.568708    1021.05
08Z01FEB2015    1.92522    -0.619985    1021.02
09Z01FEB2015    2.27949    -1.07215    1018.02
10Z01FEB2015    1.9392    -0.624646    1015.23
11Z01FEB2015    2.13965    -1.11877    1012.92
12Z01FEB2015    2.85752    -1.66883    1012.42
13Z01FEB2015    3.65931    -1.91589    1011.04
14Z01FEB2015    4.74545    0    1010.19
15Z01FEB2015    5.22558    0.4242    1007.58
16Z01FEB2015    4.44711    2.1816    1005.52
17Z01FEB2015    1.14208    0.825092    1005.36
18Z01FEB2015    0.494123    4.50305    1006.73
19Z01FEB2015    -5.77098    7.07622    1008.32
20Z01FEB2015    -5.85023    7.35591    1011.76
21Z01FEB2015    -4.88063    7.41185    1013.2
22Z01FEB2015    -3.333    7.3932    1012.79
23Z01FEB2015    -4.94123    6.21849    1012.64
00Z02FEB2015    -3.20714    0.885692    1012.77
01Z02FEB2015    1.04885    -0.512769    1011.87
02Z02FEB2015    4.08351    -1.24929    1009.12
03Z02FEB2015    3.83645    -1.60357    1007.78
04Z02FEB2015    3.70126    -2.21423    1005.2
05Z02FEB2015    3.96231    -1.77605    1003.92
06Z02FEB2015    2.87151    -1.32388    1002.08
07Z02FEB2015    2.56385    -0.820431    999.782
08Z02FEB2015    2.25618    -1.16072    998.03
09Z02FEB2015    2.28415    -0.755169    998.092
10Z02FEB2015    2.61512    -1.04885    999.981
11Z02FEB2015    3.23511    -0.195785    1000.91
12Z02FEB2015    4.08351    0.918323    1000.96
13Z02FEB2015    6.07398    1.20734    999.161
14Z02FEB2015    6.57277    1.7574    998.024
15Z02FEB2015    6.666    3.30503    996.886
16Z02FEB2015    6.22782    3.83645    997.52
17Z02FEB2015    4.77342    1.00223    998.359
18Z02FEB2015    3.91569    2.05574    1000.35
19Z02FEB2015    3.12323    -3.13722    1002.16
20Z02FEB2015    4.72214    0.0139846    1003.33
21Z02FEB2015    4.1208    2.91812    1003.64
22Z02FEB2015    4.40982    2.82023    1003.57
23Z02FEB2015    5.16498    2.65242    1003.29
00Z03FEB2015    4.39117    0.470815    1002.58
01Z03FEB2015    3.636    -1.53831    1001.09
02Z03FEB2015    3.43555    -1.90657    999.31
03Z03FEB2015    3.93434    -1.92055    997.545
04Z03FEB2015    3.73389    -0.922985    996.861
05Z03FEB2015    2.83422    -0.773815    996.613
06Z03FEB2015    1.818    -1.01622    996.855
07Z03FEB2015    2.81091    -1.61755    997.508
08Z03FEB2015    3.06263    -1.61289    998.365
09Z03FEB2015    4.36786    -1.13742    1000.45
10Z03FEB2015    5.40272    0.713215    1002.04
11Z03FEB2015    5.79895    1.79003    1004.26
12Z03FEB2015    6.76855    2.80625    1004.94
13Z03FEB2015    7.67755    3.41225    1004.92
14Z03FEB2015    6.97366    3.52412    1004.18
15Z03FEB2015    6.69397    4.17208    1003.51
16Z03FEB2015    6.7266    4.75943    1001.69
17Z03FEB2015    4.54034    3.64532    1000.51
18Z03FEB2015    2.62911    0.265708    1000.44
19Z03FEB2015    2.89015    -0.200446    1001.37
20Z03FEB2015    3.92035    -0.909    1000.85
21Z03FEB2015    3.53811    -0.960277    1001.18
22Z03FEB2015    3.47751    -2.07438    1000.67
23Z03FEB2015    2.63377    -2.17228    1000.94
00Z04FEB2015    2.69437    -2.27017    1001.63
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
