tyd    u    v    psl
01Z30JAN2015    8.18566    -5.80828    1009.51
02Z30JAN2015    8.04115    -8.31152    1009.63
03Z30JAN2015    9.27646    -9.6354    1007.13
04Z30JAN2015    10.7169    -9.94772    1009.22
05Z30JAN2015    11.3508    -7.97589    1011.63
06Z30JAN2015    11.3182    -9.83585    1008.07
07Z30JAN2015    9.96637    -7.23005    1009.22
08Z30JAN2015    10.1482    -5.24889    1004.35
09Z30JAN2015    13.0337    -4.74078    1000.89
10Z30JAN2015    8.32551    0.596677    1010.26
11Z30JAN2015    8.46069    -1.818    1018.35
12Z30JAN2015    12.162    -6.23248    1023.08
13Z30JAN2015    10.4885    -2.05108    1023.86
14Z30JAN2015    9.04805    -4.37718    1020.52
15Z30JAN2015    12.7726    -6.14391    1010.48
16Z30JAN2015    13.5511    -5.23491    1007.89
17Z30JAN2015    7.58432    -2.29814    1003.98
18Z30JAN2015    10.302    -2.67106    996.128
19Z30JAN2015    9.53751    -3.66397    986.78
20Z30JAN2015    7.96657    -6.81051    993.822
21Z30JAN2015    7.24869    -2.60114    1004.52
22Z30JAN2015    6.36766    -5.89685    1011.47
23Z30JAN2015    6.88509    -6.64269    1009.8
00Z31JAN2015    6.32105    -4.27929    1008.3
01Z31JAN2015    9.53285    -4.47508    1008.84
02Z31JAN2015    9.94306    -3.34698    1014.1
03Z31JAN2015    9.41631    2.55918    1020.76
04Z31JAN2015    3.73389    1.78537    1021.6
05Z31JAN2015    5.30949    3.18849    1018.57
06Z31JAN2015    5.53325    4.42846    1017.35
07Z31JAN2015    2.54986    4.82469    1016.27
08Z31JAN2015    -0.517431    5.13235    1015.56
09Z31JAN2015    -1.04418    6.17654    1014.05
10Z31JAN2015    -0.755169    5.90617    1012.75
11Z31JAN2015    -1.39846    4.95055    1013.22
12Z31JAN2015    -1.14674    4.72214    1018.4
13Z31JAN2015    -1.38448    5.42137    1020.72
14Z31JAN2015    -1.12809    5.50528    1018.42
15Z31JAN2015    -1.49635    6.07398    1013.57
16Z31JAN2015    -1.36117    7.30929    1011.3
17Z31JAN2015    -2.34009    7.00163    1007.31
18Z31JAN2015    -3.79915    5.98542    1009.55
19Z31JAN2015    -2.71302    8.65648    1015.36
20Z31JAN2015    -3.37495    6.88509    1019.98
21Z31JAN2015    -3.23511    6.7266    1018.67
22Z31JAN2015    -3.71058    7.23937    1018.36
23Z31JAN2015    -4.80605    6.90374    1018.34
00Z01FEB2015    -6.39097    6.09263    1018.75
01Z01FEB2015    -6.29308    5.03912    1017.65
02Z01FEB2015    -7.29531    3.18849    1018.28
03Z01FEB2015    -7.92928    3.2118    1016.18
04Z01FEB2015    -7.79409    2.20025    1014.53
05Z01FEB2015    -6.95502    2.25618    1012.98
06Z01FEB2015    -6.99697    2.424    1010.65
07Z01FEB2015    -6.15789    5.37009    1004.98
08Z01FEB2015    -6.29308    5.66843    1002.04
09Z01FEB2015    -7.54237    9.15526    1003.89
10Z01FEB2015    -6.42826    6.85246    1008.6
11Z01FEB2015    -6.61938    7.96191    1012.09
12Z01FEB2015    -6.97832    7.43515    1011.09
13Z01FEB2015    -6.73592    8.25558    1006.41
14Z01FEB2015    -6.80118    7.50974    1004.81
15Z01FEB2015    -6.56811    8.22295    1002.65
16Z01FEB2015    -6.58209    7.69154    1000.65
17Z01FEB2015    -7.11351    7.14614    1000.09
18Z01FEB2015    -6.07865    6.94103    1002.18
19Z01FEB2015    -5.16498    6.70329    1002.86
20Z01FEB2015    -6.35834    6.63337    1005.5
21Z01FEB2015    -7.23471    6.38631    1006.92
22Z01FEB2015    -7.54237    5.29551    1009.05
23Z01FEB2015    -7.36989    2.77362    1008.99
00Z02FEB2015    -6.51217    0.564046    1009.48
01Z02FEB2015    -7.22072    -0.130523    1009.17
02Z02FEB2015    -7.68688    0.279692    1007.37
03Z02FEB2015    -7.66823    0.699231    1004.28
