tyd    u    v    psl
01Z30JAN2015    0.783138    -2.2422    1011.29
02Z30JAN2015    -0.368262    -0.330969    1011.37
03Z30JAN2015    -0.261046    -1.44508    1009.6
04Z30JAN2015    -0.3636    -1.92522    1011.64
05Z30JAN2015    -0.554723    -1.36583    1014.23
06Z30JAN2015    -1.29125    -1.74808    1011.49
07Z30JAN2015    -0.815769    -1.61289    1011.47
08Z30JAN2015    0.153831    -0.895015    1006.3
09Z30JAN2015    1.95785    -0.615323    1001.58
10Z30JAN2015    0.135185    -0.596677    1010.97
11Z30JAN2015    3.64998    -2.6058    1019.47
12Z30JAN2015    2.21423    -2.0604    1023.59
13Z30JAN2015    2.70369    1.00223    1024.15
14Z30JAN2015    5.44468    -0.382246    1021.59
15Z30JAN2015    4.54034    0.685246    1011.14
16Z30JAN2015    4.43312    2.09769    1007.87
17Z30JAN2015    3.17451    3.39826    1004.29
18Z30JAN2015    0.881031    2.01845    997.135
19Z30JAN2015    2.27017    1.53365    988.688
20Z30JAN2015    1.50568    0.964938    994.3
21Z30JAN2015    1.9392    2.53122    1005.79
22Z30JAN2015    1.15606    1.84597    1012.95
23Z30JAN2015    0.703892    1.51034    1011.29
00Z31JAN2015    -0.0745846    -0.568708    1010.03
01Z31JAN2015    0.806446    -0.261046    1009.54
02Z31JAN2015    -0.177138    0.596677    1015.28
03Z31JAN2015    0.988246    0.428862    1021.64
04Z31JAN2015    1.17937    1.24463    1022.8
05Z31JAN2015    -0.153831    -0.559385    1017.96
06Z31JAN2015    0.731862    -0.0326308    1016.53
07Z31JAN2015    1.76206    0.964938    1014.71
08Z31JAN2015    2.68971    2.70835    1013.41
09Z31JAN2015    3.14188    3.64066    1011.77
10Z31JAN2015    3.22112    3.14188    1010.22
11Z31JAN2015    3.86442    3.54277    1010.51
12Z31JAN2015    4.75477    3.72457    1015.05
13Z31JAN2015    4.7874    3.5754    1017.95
14Z31JAN2015    4.29328    3.88306    1015.25
15Z31JAN2015    5.11371    4.96454    1010.08
16Z31JAN2015    4.87131    5.39806    1008.14
17Z31JAN2015    4.00892    5.36543    1003.8
18Z31JAN2015    3.48683    5.46332    1006.71
19Z31JAN2015    3.10925    5.01115    1013.1
20Z31JAN2015    3.20248    4.48906    1017.66
21Z31JAN2015    2.55452    3.64532    1016.76
22Z31JAN2015    2.02311    3.26774    1015.77
23Z31JAN2015    1.41245    2.73632    1015.86
00Z01FEB2015    1.65018    2.76895    1017
01Z01FEB2015    1.30057    1.48703    1015.68
02Z01FEB2015    0.7272    1.66417    1016.61
03Z01FEB2015    1.20734    2.15829    1014
04Z01FEB2015    0.927646    1.30989    1012.71
05Z01FEB2015    0.508108    0.592015    1011.62
06Z01FEB2015    1.17005    1.24463    1008.61
07Z01FEB2015    0.722538    0.592015    1002.63
08Z01FEB2015    1.24929    1.18869    999.136
09Z01FEB2015    1.83198    1.76672    1000.86
10Z01FEB2015    1.62222    1.02554    1004.95
11Z01FEB2015    2.95075    2.08837    1007.74
12Z01FEB2015    2.62911    2.59182    1006.77
13Z01FEB2015    3.03466    3.2118    1002.5
14Z01FEB2015    3.98095    3.56608    1000.51
15Z01FEB2015    4.39117    3.99494    998.819
16Z01FEB2015    4.48906    4.31658    997.539
17Z01FEB2015    3.76652    4.55898    997.514
18Z01FEB2015    3.46818    3.82246    998.396
19Z01FEB2015    1.78537    3.04865    1000.84
20Z01FEB2015    1.17937    3.01135    1001.75
21Z01FEB2015    1.70146    0.839077    1004.47
22Z01FEB2015    0.610662    1.54763    1006.19
23Z01FEB2015    0.964938    1.18869    1006.22
00Z02FEB2015    1.18869    1.85529    1006.78
01Z02FEB2015    1.24929    1.66883    1007.23
02Z02FEB2015    0.582692    1.25395    1005.66
03Z02FEB2015    0.526754    0.4848    1003.64
04Z02FEB2015    0.414877    0.0652615    1001.56
05Z02FEB2015    0.466154    0.167815    998.968
06Z02FEB2015    0.633969    -0.0885692    997.017
07Z02FEB2015    0.750508    -0.0932308    997.669
08Z02FEB2015    1.41711    0.368262    1000.35
09Z02FEB2015    1.19335    -0.237738    1002.29
10Z02FEB2015    2.47528    -0.214431    1003.27
11Z02FEB2015    1.57094    -0.279692    1004.54
12Z02FEB2015    3.46818    1.97183    1005.26
