tyd    u    v    psl
01Z30JAN2015    -0.344954    -1.49169    1009.52
02Z30JAN2015    0.209769    -0.0372923    1009.47
03Z30JAN2015    -0.237738    -0.745846    1007.1
04Z30JAN2015    -0.400892    -2.46595    1008.99
05Z30JAN2015    2.03709    -0.316985    1011.48
06Z30JAN2015    2.04642    -0.0279692    1007.72
07Z30JAN2015    0.927646    0.741185    1008.66
08Z30JAN2015    2.83422    1.27726    1003.31
09Z30JAN2015    5.51926    0.769154    1000.01
10Z30JAN2015    11.2623    1.04418    1009.22
11Z30JAN2015    10.6516    3.1512    1017.84
12Z30JAN2015    5.93414    3.10458    1022.95
13Z30JAN2015    6.49352    3.60337    1023.57
14Z30JAN2015    6.34902    1.0302    1020.29
15Z30JAN2015    11.3182    -0.275031    1009.65
16Z30JAN2015    13.7096    0.298338    1006.58
17Z30JAN2015    11.6026    1.13742    1003.29
18Z30JAN2015    9.56548    -0.643292    995.786
19Z30JAN2015    3.62202    -2.25152    986.426
20Z30JAN2015    1.30057    -2.07438    993.797
21Z30JAN2015    0.601338    -1.41711    1004.21
22Z30JAN2015    0.358938    -0.0419538    1011.34
23Z30JAN2015    -1.10012    -1.20268    1009.71
00Z31JAN2015    1.08148    0.825092    1008.09
01Z31JAN2015    0.759831    3.97163    1008.29
02Z31JAN2015    8.69377    1.30989    1014
03Z31JAN2015    10.1249    2.13965    1020.04
04Z31JAN2015    2.05108    5.19762    1021.71
05Z31JAN2015    3.0906    4.22335    1018.31
06Z31JAN2015    2.45663    5.17431    1017.68
07Z31JAN2015    2.16762    5.5146    1016.02
08Z31JAN2015    1.4544    5.85023    1015.07
09Z31JAN2015    0.475477    6.50285    1013.86
10Z31JAN2015    1.64086    6.79652    1012.34
11Z31JAN2015    2.07438    6.77788    1012.99
12Z31JAN2015    2.03243    7.20208    1017.84
13Z31JAN2015    1.27726    6.79186    1020.53
14Z31JAN2015    0.843738    6.98298    1018.03
15Z31JAN2015    0.955615    6.71728    1013.28
16Z31JAN2015    -0.256385    7.78011    1011.03
17Z31JAN2015    -0.358938    7.15546    1006.88
18Z31JAN2015    -0.466154    6.74525    1009.55
19Z31JAN2015    -1.66417    5.74768    1015.41
20Z31JAN2015    -1.2726    6.68931    1019.58
21Z31JAN2015    -1.73875    6.5448    1018.69
22Z31JAN2015    -3.07662    5.72437    1018.45
23Z31JAN2015    -3.78983    4.48906    1018.34
00Z01FEB2015    -2.87617    2.13032    1018.89
01Z01FEB2015    -4.3026    1.92522    1017.79
02Z01FEB2015    -4.55432    2.03243    1018.36
03Z01FEB2015    -4.54966    1.12809    1016.29
04Z01FEB2015    -3.00669    -0.573369    1014.39
05Z01FEB2015    -2.51257    -0.428862    1013.36
06Z01FEB2015    -2.09303    0.708554    1010.52
07Z01FEB2015    -3.5148    2.8482    1004.8
08Z01FEB2015    -3.44488    5.07175    1001.7
09Z01FEB2015    -3.64532    6.49352    1003.84
10Z01FEB2015    -4.47974    6.67998    1008.07
11Z01FEB2015    -4.23268    6.33037    1011.58
12Z01FEB2015    -3.14654    6.67066    1010.59
13Z01FEB2015    -4.01358    6.67998    1006.33
14Z01FEB2015    -4.848    6.49818    1004.09
15Z01FEB2015    -4.05554    5.95745    1002
16Z01FEB2015    -3.52878    5.74302    1000.77
17Z01FEB2015    -2.5452    5.20694    999.521
18Z01FEB2015    -2.25618    4.58695    1003.19
19Z01FEB2015    -0.470815    2.26551    1003.98
20Z01FEB2015    -1.79003    2.96474    1006.01
21Z01FEB2015    -2.00912    0.214431    1007.41
22Z01FEB2015    -0.358938    -1.11877    1008.72
23Z01FEB2015    -0.592015    -0.964938    1009.35
00Z02FEB2015    -0.909    -1.90191    1008.99
01Z02FEB2015    -1.14674    -1.25395    1009.04
02Z02FEB2015    -0.932308    -2.32611    1007.37
03Z02FEB2015    -0.689908    -3.05797    1004.43
04Z02FEB2015    -1.09546    -2.79226    1002.14
05Z02FEB2015    -0.0745846    -1.27726    999.465
06Z02FEB2015    -0.0326308    -0.0559385    997.713
07Z02FEB2015    0.610662    1.04418    997.445
08Z02FEB2015    1.39846    2.64309    1000.09
09Z02FEB2015    2.67106    2.42866    1003.85
10Z02FEB2015    2.82489    3.54277    1004.16
11Z02FEB2015    2.55452    4.16275    1006.45
12Z02FEB2015    2.55918    4.74545    1007.35
13Z02FEB2015    2.89948    5.73835    1007.55
14Z02FEB2015    2.76895    5.99008    1006.73
15Z02FEB2015    2.47062    6.07865    1004.59
16Z02FEB2015    1.38914    6.33503    1003.95
17Z02FEB2015    0.853062    6.06466    1004.25
18Z02FEB2015    0.769154    5.55655    1004.26
19Z02FEB2015    0.587354    4.9692    1003.37
20Z02FEB2015    0.820431    4.53102    1002.52
21Z02FEB2015    0.792462    4.88063    1002.2
22Z02FEB2015    0.4242    4.15809    1002.8
23Z02FEB2015    -1.05817    2.96474    1003.87
00Z03FEB2015    -0.456831    0.261046    1004.23
01Z31JAN2015    5.12769    -6.70795    1011.47
02Z31JAN2015    1.29591    -5.28152    1011.31
03Z31JAN2015    5.74768    -3.25842    1012.28
04Z31JAN2015    3.48683    -0.0419538    1010.08
05Z31JAN2015    12.4137    4.79206    1016.04
06Z31JAN2015    10.9686    3.05331    1012.9
07Z31JAN2015    10.0549    3.88772    1011.45
08Z31JAN2015    8.40942    4.98785    1013.31
09Z31JAN2015    6.28842    5.89685    1019.99
10Z31JAN2015    7.40718    5.50994    1025.35
11Z31JAN2015    6.48886    4.25598    1028.19
12Z31JAN2015    6.01805    4.92725    1029.51
13Z31JAN2015    5.91083    5.17897    1026.74
14Z31JAN2015    5.20228    6.02271    1024.36
15Z31JAN2015    3.65465    5.55189    1021.02
16Z31JAN2015    2.92745    6.73592    1016.56
17Z31JAN2015    1.4544    6.89442    1014.14
18Z31JAN2015    -0.307662    5.86422    1008.48
19Z31JAN2015    -1.83665    2.62445    1003.89
20Z31JAN2015    -3.24443    0.582692    1003.26
21Z31JAN2015    -4.17208    0.922985    1008.48
22Z31JAN2015    -3.92968    -0.130523    1013.07
23Z31JAN2015    -1.53365    -0.517431    1013.34
00Z01FEB2015    -1.11411    -2.19558    1014.01
01Z01FEB2015    -2.39603    -1.74342    1016.91
02Z01FEB2015    -0.601338    -0.480138    1019.61
03Z01FEB2015    -0.0139846    0.0559385    1022.47
04Z01FEB2015    -1.11877    -0.191123    1023.57
05Z01FEB2015    -1.08148    1.06283    1023.55
06Z01FEB2015    -1.26328    0.647954    1023.11
07Z01FEB2015    -2.26085    1.18869    1023.76
08Z01FEB2015    -3.15586    1.52432    1024.23
09Z01FEB2015    -4.14411    3.54743    1021.24
10Z01FEB2015    -4.98785    5.91083    1018.51
11Z01FEB2015    -5.14634    6.5448    1016.37
12Z01FEB2015    -5.18829    6.78254    1015.95
13Z01FEB2015    -5.13702    6.69397    1014.81
14Z01FEB2015    -4.95988    7.62628    1013.82
15Z01FEB2015    -5.46332    8.0598    1011.32
16Z01FEB2015    -5.88752    8.21363    1009.27
17Z01FEB2015    -6.25578    7.0296    1009.51
18Z01FEB2015    -6.09729    6.32571    1010.96
19Z01FEB2015    -6.01805    5.48663    1013.19
20Z01FEB2015    -7.38854    4.16742    1016.54
21Z01FEB2015    -3.58472    -0.0186462    1018.12
22Z01FEB2015    -2.8482    1.02088    1017.28
23Z01FEB2015    -0.633969    0.703892    1017.45
00Z02FEB2015    0.0186462    -0.755169    1016.99
01Z02FEB2015    -0.396231    -1.77605    1015.45
02Z02FEB2015    -0.629308    -1.61755    1012.79
03Z02FEB2015    -1.10478    -2.31212    1010.87
04Z02FEB2015    -1.22132    -2.09303    1008.52
05Z02FEB2015    -0.797123    -2.6058    1006.38
06Z02FEB2015    0.843738    0.167815    1004.97
07Z02FEB2015    0.741185    -0.0372923    1002.46
08Z02FEB2015    -1.85995    1.09546    1000.29
09Z02FEB2015    -3.84111    3.10458    1000.48
10Z02FEB2015    -3.68728    6.08331    1002.06
11Z02FEB2015    -3.92035    6.86178    1003.2
12Z02FEB2015    -3.47285    7.60297    1003.29
13Z02FEB2015    -3.53811    7.87334    1002
14Z02FEB2015    -2.70369    8.10642    1000.41
15Z02FEB2015    -3.05797    7.82206    1000.17
16Z02FEB2015    -3.23045    7.78011    1000.62
17Z02FEB2015    -2.86685    7.25335    1001.08
18Z02FEB2015    -2.34475    7.10885    1002.86
19Z02FEB2015    -2.5452    6.37232    1005.22
20Z02FEB2015    -2.83422    6.06932    1006.5
21Z02FEB2015    -2.82023    2.61512    1006.13
22Z02FEB2015    -2.01378    0.950954    1006.51
23Z02FEB2015    0.489462    -0.587354    1006.12
00Z03FEB2015    0.699231    -1.68748    1004.79
01Z03FEB2015    0.335631    -1.7574    1003.52
02Z03FEB2015    0.102554    -1.98582    1001.39
03Z03FEB2015    0.0466154    -0.368262    999.13
04Z03FEB2015    0.419538    -1.23531    998.16
05Z03FEB2015    -0.340292    -1.86928    997.489
