tyd    u    v    psl
01Z30JAN2015    2.71768    -2.80158    1011.15
02Z30JAN2015    3.23977    -3.01602    1011.38
03Z30JAN2015    2.33077    -3.67795    1009.16
04Z30JAN2015    1.46372    -3.53811    1011.72
05Z30JAN2015    1.92055    -2.08371    1013.59
06Z30JAN2015    1.42177    -4.22335    1011.07
07Z30JAN2015    1.92988    -3.93434    1010.89
08Z30JAN2015    2.59648    -3.02068    1006.49
09Z30JAN2015    3.06729    -1.60823    1002.72
10Z30JAN2015    4.88995    -0.992908    1012.32
11Z30JAN2015    6.33503    -1.98582    1020.47
12Z30JAN2015    6.20917    -3.33766    1025.78
13Z30JAN2015    7.18343    -2.57783    1025.96
14Z30JAN2015    6.57277    -2.53122    1022.95
15Z30JAN2015    4.68018    -1.15606    1012.74
16Z30JAN2015    5.25355    -0.988246    1009.17
17Z30JAN2015    3.77118    1.21666    1005.03
18Z30JAN2015    3.85043    -0.125862    997.396
19Z30JAN2015    4.83402    -2.70369    988.098
20Z30JAN2015    2.89482    -0.0699231    995.158
21Z30JAN2015    4.17674    -2.21889    1005.81
22Z30JAN2015    3.2724    -2.47062    1012.56
23Z30JAN2015    1.18869    -2.71302    1010.75
00Z31JAN2015    2.78294    -2.29348    1009.67
01Z31JAN2015    6.48886    -0.438185    1009.55
02Z31JAN2015    6.16722    -0.0233077    1015.18
03Z31JAN2015    4.00426    3.77585    1021.1
04Z31JAN2015    -2.03709    -0.0745846    1021.59
05Z31JAN2015    3.12323    2.424    1018.34
06Z31JAN2015    4.28862    6.10662    1017.01
07Z31JAN2015    3.64066    6.31172    1015.49
08Z31JAN2015    2.32145    5.87354    1014.74
09Z31JAN2015    3.94832    7.29531    1012.76
10Z31JAN2015    4.59628    7.44914    1011.56
11Z31JAN2015    4.95988    9.14594    1012.1
12Z31JAN2015    5.16965    9.04338    1017.38
13Z31JAN2015    4.79672    6.88043    1019.83
14Z31JAN2015    4.72214    7.55169    1017.27
15Z31JAN2015    6.24646    8.54926    1012.11
16Z31JAN2015    4.91792    9.24383    1009.47
17Z31JAN2015    2.61978    6.63337    1005.03
18Z31JAN2015    0.853062    0.9696    1007.81
19Z31JAN2015    -0.275031    -1.52898    1013.84
20Z31JAN2015    -0.0839077    -1.56162    1018.42
21Z31JAN2015    -0.540738    -1.34252    1017.32
22Z31JAN2015    -0.0839077    -1.0302    1016.72
23Z31JAN2015    -0.554723    -1.8786    1016.49
00Z01FEB2015    0.139846    -2.62445    1017.19
01Z01FEB2015    -1.6968    -2.29348    1016.34
02Z01FEB2015    0.573369    -0.1212    1016.47
03Z01FEB2015    0.578031    0.750508    1014.43
04Z01FEB2015    2.04642    0.237738    1012.36
05Z01FEB2015    -0.475477    -0.778477    1011.71
06Z01FEB2015    1.23065    -1.05351    1008.64
07Z01FEB2015    1.69214    -3.12323    1002.94
08Z01FEB2015    2.81091    -5.0298    999.869
09Z01FEB2015    2.63843    -5.23025    1001.41
10Z01FEB2015    2.44731    -4.90394    1006.71
11Z01FEB2015    1.97183    -4.39583    1009.87
12Z01FEB2015    1.39846    -4.32125    1008.53
13Z01FEB2015    1.212    -5.01115    1004.44
14Z01FEB2015    0.275031    -4.545    1002.55
15Z01FEB2015    -0.163154    -2.09769    1000.35
16Z01FEB2015    1.60357    -3.41225    998.968
17Z01FEB2015    -1.79935    -3.08128    998.036
18Z01FEB2015    1.89258    -1.03486    1000.14
19Z01FEB2015    -1.18869    0.498785    1001.88
