tyd    u    v    psl
01Z30JAN2015    -1.25862    -3.08128    1010.77
02Z30JAN2015    -2.71302    -3.92035    1011.08
03Z30JAN2015    -3.05797    -3.42157    1009.08
04Z30JAN2015    -2.9694    -3.80382    1011.15
05Z30JAN2015    -3.01602    -3.55675    1013.31
06Z30JAN2015    -1.17937    -4.00426    1009.98
07Z30JAN2015    0.899677    -4.75477    1010.38
08Z30JAN2015    2.30746    -5.08108    1005.52
09Z30JAN2015    3.18849    -3.72457    1001.67
10Z30JAN2015    5.16965    -4.29328    1011
11Z30JAN2015    2.82023    -2.60114    1019.43
12Z30JAN2015    3.98095    -4.44245    1024.18
13Z30JAN2015    6.50751    -4.10215    1024.67
14Z30JAN2015    3.83178    -3.18849    1022.18
15Z30JAN2015    2.05574    -1.48237    1012.12
16Z30JAN2015    0.298338    -1.212    1008.81
17Z30JAN2015    0.144508    -2.60114    1004.49
18Z30JAN2015    0.638631    -3.78051    997.29
19Z30JAN2015    1.99048    -2.80625    988.073
20Z30JAN2015    -1.23065    -1.818    994.717
21Z30JAN2015    -1.46838    -1.23997    1005.72
22Z30JAN2015    -1.92988    -1.59425    1012.5
23Z30JAN2015    -2.424    -1.44042    1010.8
00Z31JAN2015    -1.94386    -1.01622    1009.57
01Z31JAN2015    -0.936969    -0.209769    1009.73
02Z31JAN2015    -0.741185    -0.344954    1014.76
03Z31JAN2015    -1.06749    -0.9696    1021.03
04Z31JAN2015    -0.303    -0.466154    1022.38
05Z31JAN2015    -0.8484    -0.372923    1018.31
06Z31JAN2015    0.820431    1.90191    1017.22
07Z31JAN2015    0.769154    4.82469    1015.53
08Z31JAN2015    1.65485    5.84557    1014.17
09Z31JAN2015    1.40312    7.23937    1012.9
10Z31JAN2015    1.88326    7.09952    1011.84
11Z31JAN2015    1.80868    7.56102    1012.27
12Z31JAN2015    2.14431    8.15303    1017.09
13Z31JAN2015    2.33077    7.40718    1019.69
14Z31JAN2015    2.35408    7.05757    1017.47
15Z31JAN2015    2.11168    7.58432    1012.87
16Z31JAN2015    1.79469    8.75903    1010.02
17Z31JAN2015    1.58958    9.63074    1005.77
18Z31JAN2015    0.834415    9.13195    1007.98
19Z31JAN2015    -0.0606    9.58412    1014.08
20Z31JAN2015    0.610662    9.09932    1018.29
21Z31JAN2015    1.08614    9.71931    1017.65
22Z31JAN2015    0.00466154    7.57034    1016.55
23Z31JAN2015    -0.1212    9.31375    1016.5
