tyd    u    v    psl
01Z30JAN2015    1.62688    -3.31902    1010.62
02Z30JAN2015    1.67815    -2.28415    1010.5
03Z30JAN2015    2.23288    -2.20491    1008.38
04Z30JAN2015    2.25152    -2.20025    1010.93
05Z30JAN2015    4.86198    -2.0604    1012.63
06Z30JAN2015    2.59648    -3.22112    1009.65
07Z30JAN2015    2.75497    -3.78051    1010.06
08Z30JAN2015    4.33057    -4.11148    1005.66
09Z30JAN2015    5.84091    -3.65465    1002.14
10Z30JAN2015    7.61695    -4.49372    1011.67
11Z30JAN2015    7.36057    -5.35145    1019.71
12Z30JAN2015    7.89198    -5.74768    1024.89
13Z30JAN2015    8.40475    -5.50062    1024.92
14Z30JAN2015    7.73349    -5.49595    1022.35
15Z30JAN2015    7.78943    -5.74302    1012.26
16Z30JAN2015    7.26268    -4.41448    1008.79
17Z30JAN2015    7.95258    -3.68262    1004.46
18Z30JAN2015    5.23025    -2.28882    997.228
19Z30JAN2015    3.37962    -2.1816    987.905
20Z30JAN2015    2.04642    -2.17694    995.276
21Z30JAN2015    2.19558    -2.96008    1005.36
22Z30JAN2015    -0.167815    -3.85043    1012
23Z30JAN2015    -0.237738    -3.85043    1010.66
00Z31JAN2015    3.23977    0.2424    1009.83
01Z31JAN2015    3.93434    -0.596677    1009.52
02Z31JAN2015    3.06729    2.69437    1015.05
03Z31JAN2015    0.871708    -0.284354    1020.94
04Z31JAN2015    0.573369    0.167815    1021.86
05Z31JAN2015    0.578031    -0.0978923    1018.75
06Z31JAN2015    2.01378    2.35874    1017.68
07Z31JAN2015    0.964938    3.9996    1016.53
08Z31JAN2015    0.0606    4.7268    1015.69
09Z31JAN2015    -0.172477    6.40962    1014.41
10Z31JAN2015    0.946292    7.37455    1012.75
11Z31JAN2015    0.391569    7.41651    1013.75
12Z31JAN2015    1.17005    7.54237    1018.52
13Z31JAN2015    0.186462    6.63337    1020.9
14Z31JAN2015    -0.163154    6.70329    1018.72
15Z31JAN2015    -0.0792462    7.98055    1013.68
16Z31JAN2015    -0.461492    7.7568    1011.66
17Z31JAN2015    -0.4848    7.13215    1007.23
18Z31JAN2015    -1.60357    7.49109    1010.04
19Z31JAN2015    -0.275031    6.54946    1016.12
20Z31JAN2015    -0.111877    6.22782    1020.43
21Z31JAN2015    -0.419538    6.06466    1019.42
22Z31JAN2015    -0.797123    6.52615    1018.75
23Z31JAN2015    -1.44508    7.36989    1018.75
00Z01FEB2015    -1.86462    7.17411    1019.33
01Z01FEB2015    -1.48237    6.31638    1018.26
02Z01FEB2015    -2.89948    6.86645    1018.3
03Z01FEB2015    -3.32834    7.48643    1016.17
04Z01FEB2015    -2.56385    7.26268    1014.53
05Z01FEB2015    -2.69437    7.32328    1013.32
06Z01FEB2015    -3.15586    7.90131    1011.02
07Z01FEB2015    -3.91103    8.55392    1005.41
08Z01FEB2015    -4.04155    9.11331    1002.08
09Z01FEB2015    -4.23734    8.92685    1003.85
10Z01FEB2015    -4.28395    9.1506    1009.01
11Z01FEB2015    -4.40982    8.84294    1012.31
12Z01FEB2015    -4.06486    9.22518    1011.41
13Z01FEB2015    -3.80382    9.33706    1006.66
14Z01FEB2015    -3.85509    9.06203    1004.8
15Z01FEB2015    -3.71525    7.98522    1002.93
16Z01FEB2015    -3.5148    7.26268    1001.4
17Z01FEB2015    -2.65708    6.45623    1000.62
18Z01FEB2015    -1.11411    6.47488    1001.73
19Z01FEB2015    -1.57094    6.98298    1003.54
20Z01FEB2015    -3.29571    8.44205    1004.67
21Z01FEB2015    -4.21403    7.93394    1006.64
22Z01FEB2015    -5.07175    7.36989    1008.2
23Z01FEB2015    -5.57986    7.26268    1007.97
00Z02FEB2015    -5.34212    6.56811    1008.77
01Z02FEB2015    -2.88083    4.89928    1007.79
02Z02FEB2015    -4.66154    4.70815    1007.23
03Z02FEB2015    -1.12343    0.657277    1003.76
04Z02FEB2015    -0.489462    -0.0186462    1001.34
05Z02FEB2015    0.606    1.10012    998.981
06Z02FEB2015    1.11411    2.14431    997.253
07Z02FEB2015    2.4846    2.30746    997.812
08Z02FEB2015    3.43089    2.54986    1000.66
09Z02FEB2015    1.61755    4.16742    1003.74
10Z02FEB2015    1.96251    4.40515    1005.9
11Z02FEB2015    3.04398    4.49838    1006.87
