tyd    u    v    psl
01Z30JAN2015    5.16965    -5.2722    1010.72
02Z30JAN2015    5.61715    -5.99008    1010.65
03Z30JAN2015    5.37475    -6.52149    1008.79
04Z30JAN2015    6.20451    -5.59851    1010.78
05Z30JAN2015    5.85489    -6.29774    1012.7
06Z30JAN2015    5.29551    -5.62182    1010.09
07Z30JAN2015    3.94366    -4.9692    1010.6
08Z30JAN2015    4.38651    -5.70572    1005.85
09Z30JAN2015    4.60094    -4.75011    1002
10Z30JAN2015    6.62405    -4.90394    1011.55
11Z30JAN2015    7.25335    -4.97852    1019.78
12Z30JAN2015    9.696    -5.40272    1024.79
13Z30JAN2015    9.0294    -5.2116    1024.95
14Z30JAN2015    7.40718    -5.47731    1021.95
15Z30JAN2015    9.24383    -5.17897    1011.58
16Z30JAN2015    5.33746    -5.65445    1008.29
17Z30JAN2015    3.87374    -5.6358    1004.43
18Z30JAN2015    4.44245    -4.46575    997.023
19Z30JAN2015    3.84111    -4.35388    988.011
20Z30JAN2015    5.65445    -3.70126    994.847
21Z30JAN2015    3.91103    -3.52878    1005.39
22Z30JAN2015    4.45177    -4.242    1012.22
23Z30JAN2015    2.98805    -4.88995    1010.58
00Z31JAN2015    4.47042    -4.64755    1009.06
01Z31JAN2015    4.09283    -3.46818    1009.12
02Z31JAN2015    2.36806    -1.74808    1014.85
03Z31JAN2015    -1.22598    2.88549    1021.49
04Z31JAN2015    -2.49858    2.40535    1021.81
05Z31JAN2015    -0.890354    1.67815    1018.38
06Z31JAN2015    -1.14674    2.81557    1017.06
07Z31JAN2015    -0.834415    5.32814    1015.37
08Z31JAN2015    -1.515    5.16032    1014.85
09Z31JAN2015    -2.46595    7.53771    1013.06
10Z31JAN2015    -1.87394    8.88489    1011.62
11Z31JAN2015    -2.13498    8.79632    1012.41
12Z31JAN2015    -2.47994    9.10398    1017.6
13Z31JAN2015    -2.50791    8.40009    1019.96
14Z31JAN2015    -1.11411    8.37678    1017.43
15Z31JAN2015    -1.86462    9.51886    1012.37
16Z31JAN2015    -1.5756    10.5071    1009.8
17Z31JAN2015    -1.94852    11.4627    1005.82
18Z31JAN2015    0.102554    11.3695    1008.36
19Z31JAN2015    1.67349    12.8379    1014.3
20Z31JAN2015    1.94852    13.8541    1018.55
21Z31JAN2015    1.62688    12.987    1017.92
22Z31JAN2015    1.95785    13.1176    1017.19
23Z31JAN2015    1.79003    13.7236    1016.7
00Z01FEB2015    1.76206    14.0592    1017.83
01Z01FEB2015    2.00446    13.5697    1016.53
02Z01FEB2015    2.27483    13.0476    1017.04
03Z01FEB2015    2.16762    13.6676    1015.19
04Z01FEB2015    2.36806    13.0943    1013.18
05Z01FEB2015    2.5452    12.6654    1012.03
