tyd    u    v    psl
01Z30JAN2015    5.9388    -3.20248    1009.98
02Z30JAN2015    6.04602    -3.90171    1010.09
03Z30JAN2015    5.23025    -4.39583    1008.09
04Z30JAN2015    2.70369    -5.0298    1010.74
05Z30JAN2015    6.27443    -4.70349    1012.51
06Z30JAN2015    1.2726    -6.33503    1009.43
07Z30JAN2015    1.6968    -4.29328    1009.87
08Z30JAN2015    2.52655    -4.13012    1005.02
09Z30JAN2015    11.3928    -3.76186    1001.55
10Z30JAN2015    11.2063    -3.37495    1010.72
11Z30JAN2015    12.6654    -6.55412    1018.7
12Z30JAN2015    12.2319    -5.89218    1024.52
13Z30JAN2015    13.7702    -5.31882    1024.49
14Z30JAN2015    12.6095    -5.56588    1021.65
15Z30JAN2015    13.8075    -5.43535    1011.08
16Z30JAN2015    10.6982    -4.91326    1008.48
17Z30JAN2015    9.75194    -4.06486    1004.29
18Z30JAN2015    9.49555    -3.51946    996.731
19Z30JAN2015    8.41408    -4.48906    987.29
20Z30JAN2015    5.41205    -4.29328    994.673
21Z30JAN2015    5.29551    -5.5146    1004.97
22Z30JAN2015    0.372923    -4.68018    1011.78
23Z30JAN2015    0.941631    -5.36077    1010.6
00Z31JAN2015    6.20451    -2.25618    1009.19
01Z31JAN2015    10.6003    -3.2724    1008.73
02Z31JAN2015    4.21403    5.23491    1014.58
03Z31JAN2015    3.79449    3.31902    1020.78
04Z31JAN2015    3.05797    2.32145    1021.62
05Z31JAN2015    4.64755    2.57317    1018.65
06Z31JAN2015    3.53811    4.09283    1017.5
07Z31JAN2015    0.983585    6.62405    1016
08Z31JAN2015    -1.02088    6.02737    1015.36
09Z31JAN2015    -1.6968    6.98765    1014.13
10Z31JAN2015    -1.3332    7.0902    1012.79
11Z31JAN2015    -0.7272    7.02494    1013.31
12Z31JAN2015    -0.680585    7.86868    1018.19
13Z31JAN2015    -1.01155    7.6356    1020.27
14Z31JAN2015    -2.09303    6.95502    1018.56
15Z31JAN2015    -1.66883    8.90354    1013.67
16Z31JAN2015    -1.65951    8.80098    1011.45
17Z31JAN2015    -1.24929    10.1482    1006.94
18Z31JAN2015    -2.44265    9.25782    1009.6
19Z31JAN2015    -3.05331    9.79855    1015.32
20Z31JAN2015    -1.21666    9.64472    1019.87
21Z31JAN2015    -2.33077    9.24383    1019.02
22Z31JAN2015    -2.58249    10.2834    1018.16
23Z31JAN2015    -3.64998    10.0969    1018.2
00Z01FEB2015    -4.46109    9.64938    1018.58
01Z01FEB2015    -5.34212    9.43962    1017.75
02Z01FEB2015    -6.05534    9.18323    1018.17
03Z01FEB2015    -6.363    8.33483    1015.88
04Z01FEB2015    -6.61938    8.35814    1014.29
05Z01FEB2015    -5.52392    8.47934    1012.93
06Z01FEB2015    -5.02514    9.38834    1010.45
07Z01FEB2015    -5.46332    9.05271    1004.83
08Z01FEB2015    -5.36077    9.68202    1001.79
09Z01FEB2015    -6.06932    10.1528    1003.58
10Z01FEB2015    -6.06932    9.32308    1008.76
11Z01FEB2015    -7.18809    8.47002    1012.12
12Z01FEB2015    -7.15546    8.69377    1010.78
13Z01FEB2015    -6.07398    8.38611    1006.74
14Z01FEB2015    -6.57743    8.80565    1004.56
15Z01FEB2015    -5.82226    9.09932    1002.3
16Z01FEB2015    -6.06    8.61452    1001.49
17Z01FEB2015    -6.07865    8.63317    1000.55
18Z01FEB2015    -5.83625    9.65871    1001.86
19Z01FEB2015    -5.00183    9.24849    1002.63
20Z01FEB2015    -6.363    9.71465    1004.6
21Z01FEB2015    -7.74748    9.34638    1006.87
22Z01FEB2015    -8.08311    9.07602    1008.07
23Z01FEB2015    -8.63783    8.43738    1007.99
00Z02FEB2015    -8.76369    7.98055    1008.52
01Z02FEB2015    -8.57257    8.19032    1008.29
02Z02FEB2015    -7.74282    6.57277    1006.7
03Z02FEB2015    -6.9084    5.24889    1003.92
04Z02FEB2015    -6.05534    4.58695    1001.81
05Z02FEB2015    -4.9692    3.97163    1000.57
06Z02FEB2015    -3.16518    2.60114    997.62
07Z02FEB2015    -1.24463    4.00426    997.153
08Z02FEB2015    -1.31455    4.73612    1000.68
09Z02FEB2015    -1.98582    4.91326    1004.12
10Z02FEB2015    -0.909    3.97629    1005.15
11Z02FEB2015    0.279692    4.69883    1006.46
12Z02FEB2015    0.391569    5.30949    1008.03
13Z02FEB2015    1.71078    6.2418    1007.98
14Z02FEB2015    1.26328    7.32328    1007.12
15Z02FEB2015    0.358938    7.50508    1005.13
16Z02FEB2015    -1.29591    7.85003    1004.23
17Z02FEB2015    -0.661938    7.88732    1004.41
18Z02FEB2015    -1.05817    8.41408    1004.27
19Z02FEB2015    -1.28658    9.06669    1003.88
20Z02FEB2015    -1.06283    9.13195    1002.99
21Z02FEB2015    -1.42177    7.92928    1002.47
22Z02FEB2015    -1.62222    7.33726    1002.96
23Z02FEB2015    -1.86928    7.0902    1004.03
00Z03FEB2015    -1.7574    6.95502    1004.2
01Z31JAN2015    6.63337    -6.32105    1012.98
02Z31JAN2015    4.17674    -7.30929    1012.34
03Z31JAN2015    3.52878    -4.34455    1014.25
04Z31JAN2015    9.10398    -3.49149    1010.78
05Z31JAN2015    9.21586    3.23977    1016.84
06Z31JAN2015    8.30686    4.88995    1013.43
07Z31JAN2015    7.26734    3.65931    1011.98
08Z31JAN2015    6.75457    5.08574    1013.8
09Z31JAN2015    6.23714    6.64269    1019.9
10Z31JAN2015    6.81051    6.68465    1025.6
11Z31JAN2015    4.54966    4.46575    1028.48
12Z31JAN2015    6.10662    5.28152    1029.49
13Z31JAN2015    3.97163    4.76875    1026.61
14Z31JAN2015    4.46575    6.15789    1023.93
15Z31JAN2015    2.57317    6.01338    1020.5
16Z31JAN2015    2.6664    8.39077    1016.16
17Z31JAN2015    0.139846    9.12729    1014
18Z31JAN2015    -2.30746    9.0294    1007.94
19Z31JAN2015    -4.00426    8.79166    1003.25
20Z31JAN2015    -7.58898    8.20897    1002.96
21Z31JAN2015    -8.35348    7.27666    1007.81
22Z31JAN2015    -9.53751    7.78011    1011.86
23Z31JAN2015    -9.24849    6.97832    1012.98
00Z01FEB2015    -11.1644    4.69883    1013.69
01Z01FEB2015    -9.39766    5.92948    1016.75
02Z01FEB2015    -6.82915    7.06689    1019.47
03Z01FEB2015    -7.95258    6.91772    1022
04Z01FEB2015    -7.29065    7.78011    1022.82
05Z01FEB2015    -8.76835    7.98522    1022.92
06Z01FEB2015    -8.80098    8.08311    1022.53
07Z01FEB2015    -10.5864    8.25558    1023.38
08Z01FEB2015    -9.64472    8.13905    1023.68
09Z01FEB2015    -9.47225    7.90131    1021.23
10Z01FEB2015    -9.59345    8.787    1018.45
11Z01FEB2015    -9.94772    9.67735    1016.38
12Z01FEB2015    -9.32774    9.67269    1016.17
13Z01FEB2015    -9.06669    9.97569    1014.6
14Z01FEB2015    -8.79632    9.70998    1014.25
15Z01FEB2015    -8.74038    10.4931    1011.74
16Z01FEB2015    -8.87091    10.6842    1009.86
