tyd    u    v    psl
01Z30JAN2015    1.01155    0.9696    1010.69
02Z30JAN2015    2.15363    0.0512769    1010.01
03Z30JAN2015    1.44508    0.466154    1008.71
04Z30JAN2015    2.20957    -1.08614    1009.57
05Z30JAN2015    1.04885    2.46129    1012.54
06Z30JAN2015    0.974262    -0.414877    1009.21
07Z30JAN2015    2.06972    -1.47771    1009.14
08Z30JAN2015    3.5754    -2.05574    1004.86
09Z30JAN2015    2.75963    -0.843738    1000.45
10Z30JAN2015    2.75963    -1.79469    1010.47
11Z30JAN2015    5.41205    -4.02757    1018.76
12Z30JAN2015    3.30503    -4.44711    1022.71
13Z30JAN2015    4.50305    -3.78983    1022.8
14Z30JAN2015    -3.16518    -0.158492    1020.47
15Z30JAN2015    -3.84577    0.890354    1010.36
16Z30JAN2015    -0.806446    2.67106    1007.63
17Z30JAN2015    2.55452    2.26085    1003.19
18Z30JAN2015    0.0978923    4.60094    995.475
19Z30JAN2015    2.0604    2.83888    986.687
20Z30JAN2015    0.489462    5.04845    993.511
21Z30JAN2015    2.11634    3.14654    1004.25
22Z30JAN2015    2.79226    3.08128    1010.78
23Z30JAN2015    2.27483    3.25842    1009.43
00Z31JAN2015    3.31902    0.834415    1007.79
01Z31JAN2015    4.60094    1.77138    1007.61
02Z31JAN2015    5.32348    1.85529    1012.74
03Z31JAN2015    1.76206    3.65465    1019.64
04Z31JAN2015    2.25618    4.31658    1020.06
05Z31JAN2015    0.0326308    3.30503    1016.23
06Z31JAN2015    0.461492    3.16518    1014.92
07Z31JAN2015    0.349615    2.89948    1013.34
08Z31JAN2015    0.629308    4.62425    1012.85
09Z31JAN2015    1.66883    5.62182    1010.93
10Z31JAN2015    0.694569    5.04378    1009.58
11Z31JAN2015    -0.0839077    2.9694    1010.16
12Z31JAN2015    -0.0372923    2.34475    1015.56
13Z31JAN2015    -0.293677    0.909    1017.64
14Z31JAN2015    0.647954    3.37495    1015.66
15Z31JAN2015    0.270369    4.54966    1010.11
16Z31JAN2015    1.78537    4.75477    1007.43
17Z31JAN2015    1.97183    3.12789    1003.29
18Z31JAN2015    -0.433523    2.45663    1005.74
19Z31JAN2015    1.15606    2.75963    1011.77
20Z31JAN2015    1.60357    2.77362    1016.4
21Z31JAN2015    3.02534    2.48926    1015.36
22Z31JAN2015    1.89258    2.29348    1014.61
23Z31JAN2015    2.44731    2.43798    1014.81
00Z01FEB2015    1.38448    1.91123    1016.05
01Z01FEB2015    0.410215    1.80868    1015.07
02Z01FEB2015    1.37049    1.95785    1015.29
03Z01FEB2015    0.564046    2.6058    1012.94
04Z01FEB2015    1.44974    2.13032    1011.69
05Z01FEB2015    -0.1818    4.13945    1009.78
06Z01FEB2015    0.498785    3.63134    1007.34
07Z01FEB2015    0.358938    3.97629    1001.87
08Z01FEB2015    1.30989    2.98338    999.173
09Z01FEB2015    2.47994    4.15809    1000.97
10Z01FEB2015    1.45906    3.53811    1005.02
11Z01FEB2015    1.52898    3.71525    1008.24
12Z01FEB2015    2.11634    4.73146    1007.23
13Z01FEB2015    4.67552    4.31192    1003.53
14Z01FEB2015    2.79692    0.750508    1001.56
15Z01FEB2015    1.96251    0.461492    999.77
16Z01FEB2015    2.15363    1.56162    998.297
17Z01FEB2015    0.876369    2.9088    997.756
18Z01FEB2015    2.33543    3.3936    999.142
19Z01FEB2015    1.96717    2.50325    1000.22
20Z01FEB2015    1.92522    2.92745    1001.89
21Z01FEB2015    1.07215    1.85995    1003.79
22Z01FEB2015    0.876369    1.05817    1005.91
23Z01FEB2015    -0.372923    2.04642    1005.82
00Z02FEB2015    0.335631    1.88792    1006.45
01Z02FEB2015    1.30989    0.801785    1006.45
02Z02FEB2015    2.49858    0.713215    1005.05
03Z02FEB2015    1.29591    3.00669    1002.78
04Z02FEB2015    0.125862    2.79226    1000.58
05Z02FEB2015    -0.997569    2.8482    998.309
06Z02FEB2015    -0.0139846    3.78051    996.059
07Z02FEB2015    1.25862    4.46575    997.029
08Z02FEB2015    0.769154    5.12303    999.559
09Z02FEB2015    0.722538    3.79449    1002.01
10Z02FEB2015    0.554723    1.49635    1003.91
11Z02FEB2015    1.58492    0.564046    1004.89
12Z02FEB2015    4.22802    0.265708    1005.92
13Z02FEB2015    3.80848    0.633969    1005.71
14Z02FEB2015    2.51257    1.06283    1005.08
15Z02FEB2015    1.20268    3.42157    1003.29
16Z02FEB2015    2.65708    4.80605    1002.31
17Z02FEB2015    2.61978    4.03689    1002.34
18Z02FEB2015    3.00203    2.34009    1002.38
19Z02FEB2015    0.815769    2.76429    1001.8
20Z02FEB2015    2.10702    1.94386    1000.84
21Z02FEB2015    1.06749    3.73855    1000.55
22Z02FEB2015    1.31922    3.22112    1001.12
23Z02FEB2015    1.23065    4.20937    1002.18
00Z03FEB2015    1.05351    3.59871    1002.13
01Z31JAN2015    4.17674    0.643292    1013.38
02Z31JAN2015    4.17208    -0.936969    1012.54
03Z31JAN2015    6.6054    -0.508108    1012.16
04Z31JAN2015    5.42603    -0.843738    1009.07
05Z31JAN2015    4.94123    2.05108    1015.05
06Z31JAN2015    1.86928    5.42603    1012.56
07Z31JAN2015    0.689908    2.8482    1010.54
08Z31JAN2015    1.26328    3.41225    1011.95
09Z31JAN2015    0.0233077    2.01378    1017.7
10Z31JAN2015    1.31922    0.489462    1024.05
11Z31JAN2015    4.03689    -1.73875    1026.47
12Z31JAN2015    6.41428    -1.34718    1027.47
13Z31JAN2015    4.37252    -0.00466154    1022.85
14Z31JAN2015    4.45643    1.35651    1020.68
15Z31JAN2015    1.62688    1.8786    1017.43
16Z31JAN2015    3.07662    4.71748    1012.48
17Z31JAN2015    0.517431    5.43069    1009.95
18Z31JAN2015    0.172477    3.29571    1005.18
19Z31JAN2015    -0.932308    6.07865    1001.05
20Z31JAN2015    -0.284354    3.03    999.528
21Z31JAN2015    -0.470815    0.713215    1004.66
22Z31JAN2015    -0.172477    0.769154    1009
23Z31JAN2015    0.494123    -0.247062    1009.86
00Z01FEB2015    -1.31922    -0.615323    1010.55
01Z01FEB2015    1.77138    3.49149    1013.72
02Z01FEB2015    0.326308    3.09992    1016.5
03Z01FEB2015    -0.0419538    3.85975    1019.36
04Z01FEB2015    -0.857723    3.64066    1020.34
05Z01FEB2015    1.60357    4.68485    1019.46
06Z01FEB2015    1.54297    5.28152    1019.05
07Z01FEB2015    1.9392    3.09526    1019.5
08Z01FEB2015    1.71545    2.65242    1020.94
09Z01FEB2015    2.43332    2.95542    1017.3
10Z01FEB2015    2.08837    2.10702    1014.85
11Z01FEB2015    2.18626    3.37029    1012.49
12Z01FEB2015    -1.13742    1.13742    1012.84
13Z01FEB2015    -0.214431    1.50568    1011.49
14Z01FEB2015    0.974262    2.9694    1011.09
15Z01FEB2015    1.49635    5.01582    1008.22
16Z01FEB2015    0.470815    2.97872    1005.38
17Z01FEB2015    -0.508108    3.7572    1005.38
18Z01FEB2015    0.433523    1.40312    1006.24
19Z01FEB2015    -0.913662    3.53345    1007.68
20Z01FEB2015    0.550062    0.932308    1011.18
