tyd    u    v    psl
01Z30JAN2015    2.92278    -2.05574    1011
02Z30JAN2015    2.50791    -1.32388    1011.04
03Z30JAN2015    3.37495    -1.77138    1009.5
04Z30JAN2015    3.5148    -1.75274    1010.89
05Z30JAN2015    2.13965    -2.5452    1014.3
06Z30JAN2015    1.44508    -2.29348    1010.52
07Z30JAN2015    2.28415    -2.33543    1011.16
08Z30JAN2015    2.62911    -2.26551    1005.97
09Z30JAN2015    4.23268    -2.67572    1001.16
10Z30JAN2015    4.92258    -3.70126    1010.85
11Z30JAN2015    6.04602    -3.66863    1019.08
12Z30JAN2015    5.65445    -3.36097    1024.45
13Z30JAN2015    7.02494    -3.54277    1023.92
14Z30JAN2015    7.50974    -3.01602    1021.48
15Z30JAN2015    9.81254    -2.89948    1011.5
16Z30JAN2015    9.37902    -2.31212    1008.11
17Z30JAN2015    1.17471    -1.69214    1005.12
18Z30JAN2015    3.84577    -2.00446    997.153
19Z30JAN2015    4.94123    -2.11634    987.899
20Z30JAN2015    6.36766    -2.01378    994.586
21Z30JAN2015    6.85712    -1.48237    1005.78
22Z30JAN2015    6.59608    -1.67815    1012.24
23Z30JAN2015    4.7268    -1.212    1011.09
00Z31JAN2015    3.37029    -1.77138    1009.22
01Z31JAN2015    6.26511    -2.39137    1009.39
02Z31JAN2015    2.37272    -3.53811    1015.17
03Z31JAN2015    1.70146    -3.16518    1021.39
04Z31JAN2015    3.17917    -3.80848    1022.03
05Z31JAN2015    0.960277    -2.60114    1018.11
06Z31JAN2015    1.42177    -1.60823    1016.6
07Z31JAN2015    3.31902    -2.76895    1014.32
08Z31JAN2015    0.871708    -0.102554    1013.25
09Z31JAN2015    0.536077    -0.125862    1011.08
10Z31JAN2015    3.01135    2.61512    1009.44
11Z31JAN2015    4.47042    2.39603    1010.07
12Z31JAN2015    5.07642    2.75031    1014.85
13Z31JAN2015    4.03689    0.978923    1017.26
14Z31JAN2015    3.96231    1.22132    1015.32
15Z31JAN2015    3.35631    1.92055    1010.16
16Z31JAN2015    3.40292    3.91103    1007.77
17Z31JAN2015    2.9088    3.19315    1003.58
18Z31JAN2015    0.722538    2.27017    1006.36
19Z31JAN2015    0.0885692    -0.0652615    1012.6
20Z31JAN2015    -0.223754    -2.84354    1017.25
21Z31JAN2015    -0.130523    -2.3028    1016.33
22Z31JAN2015    -0.410215    -2.29814    1015.63
23Z31JAN2015    2.31212    -1.43109    1015.63
00Z01FEB2015    3.29105    0.186462    1016.61
01Z01FEB2015    -0.0419538    -0.0606    1015.79
02Z01FEB2015    -0.629308    0.0419538    1016.25
03Z01FEB2015    0.289015    -0.111877    1013.5
04Z01FEB2015    1.53831    -1.65485    1012
05Z01FEB2015    1.25395    -2.07438    1011.5
06Z01FEB2015    0.699231    -1.32854    1008.37
07Z01FEB2015    0.592015    -1.66883    1002.84
08Z01FEB2015    0.382246    -1.06749    999.528
09Z01FEB2015    1.24463    -1.17005    1000.77
10Z01FEB2015    2.07905    -1.10945    1005.6
11Z01FEB2015    3.32368    -0.354277    1008.14
12Z01FEB2015    3.29105    0.270369    1006.74
13Z01FEB2015    3.13722    0.466154    1002.78
14Z01FEB2015    2.63843    0.680585    1000.5
15Z01FEB2015    2.45663    0.116538    998.912
16Z01FEB2015    1.72477    -0.475477    997.694
17Z01FEB2015    2.30746    0.400892    997.271
18Z01FEB2015    0.559385    0.284354    998.502
19Z01FEB2015    0.0839077    -2.14897    1000.71
20Z01FEB2015    -0.0419538    -1.01155    1001.7
21Z01FEB2015    0.326308    -1.05351    1004.93
22Z01FEB2015    1.02088    -2.121    1006.08
23Z01FEB2015    -2.33543    2.42866    1006.14
00Z02FEB2015    -3.4542    3.91103    1006.44
01Z02FEB2015    0.400892    -2.00446    1006.68
02Z02FEB2015    2.12566    -2.13498    1005.72
03Z02FEB2015    1.36583    -2.17228    1003.4
04Z02FEB2015    1.34252    -2.08371    1001.24
05Z02FEB2015    1.34252    -2.16295    998.738
06Z02FEB2015    1.09546    -2.20957    996.973
07Z02FEB2015    1.96717    -2.13032    997.595
08Z02FEB2015    3.66397    -1.77138    1000.13
09Z02FEB2015    4.49372    -1.25862    1002.22
10Z02FEB2015    5.51926    -0.671262    1003.47
11Z02FEB2015    5.91083    0.764492    1005.21
12Z02FEB2015    6.29308    1.92055    1005.63
13Z02FEB2015    5.60317    2.15829    1005.7
14Z02FEB2015    4.46575    3.67329    1004.2
15Z02FEB2015    4.11614    4.55898    1001.96
16Z02FEB2015    4.35388    5.44002    1001.23
17Z02FEB2015    4.88995    6.27443    1001.67
18Z02FEB2015    3.71058    5.46798    1001.56
19Z02FEB2015    3.49149    4.01825    1001.56
20Z02FEB2015    -1.60823    -0.489462    1000.53
21Z02FEB2015    -1.31922    1.15606    1000.99
22Z02FEB2015    -1.02554    1.212    1001.94
23Z02FEB2015    -0.596677    0.489462    1002.81
00Z03FEB2015    -0.261046    0.335631    1003.29
01Z31JAN2015    -0.587354    -0.298338    1014.44
02Z31JAN2015    -0.480138    -1.9998    1014.28
03Z31JAN2015    -0.442846    -2.03243    1014.49
04Z31JAN2015    1.77138    -2.17694    1011.75
05Z31JAN2015    3.2118    -3.00669    1018.32
06Z31JAN2015    3.92968    -3.01602    1014.23
07Z31JAN2015    3.99494    -2.62911    1011.8
08Z31JAN2015    3.99494    -2.20957    1013
09Z31JAN2015    4.26065    -2.20491    1018.52
10Z31JAN2015    5.36077    1.23065    1023.88
11Z31JAN2015    4.67086    0.475477    1026.78
12Z31JAN2015    6.03203    2.20025    1028.28
13Z31JAN2015    6.24646    1.72011    1024.51
14Z31JAN2015    5.18363    3.19782    1021.26
15Z31JAN2015    2.23754    1.83198    1018.07
16Z31JAN2015    4.90394    6.61006    1012.98
17Z31JAN2015    4.27463    6.33503    1010.95
18Z31JAN2015    2.21423    5.17431    1005.64
19Z31JAN2015    -2.67106    3.64532    1001.32
20Z31JAN2015    0.00466154    -0.0606    1000.83
21Z31JAN2015    0.149169    -0.797123    1005.67
22Z31JAN2015    0.251723    -0.615323    1009.68
23Z31JAN2015    -0.890354    1.09546    1010.6
00Z01FEB2015    -1.47771    -0.526754    1011.44
01Z01FEB2015    2.09303    -1.42643    1015.35
02Z01FEB2015    1.72943    -2.09303    1017.96
03Z01FEB2015    1.04418    -1.70612    1020.96
04Z01FEB2015    0.890354    -0.792462    1021.74
05Z01FEB2015    0.396231    -0.279692    1021.14
06Z01FEB2015    0.433523    -0.265708    1020.18
07Z01FEB2015    1.05817    -0.857723    1021.04
08Z01FEB2015    2.13032    -1.32388    1021.15
09Z01FEB2015    2.49392    -1.79003    1018.24
10Z01FEB2015    2.21889    -1.56628    1015.2
11Z01FEB2015    2.44731    -1.13275    1012.97
12Z01FEB2015    2.49392    -1.47305    1012.37
13Z01FEB2015    2.33077    -2.96474    1011
14Z01FEB2015    4.80605    -0.573369    1010.21
15Z01FEB2015    4.03689    0.433523    1007.32
16Z01FEB2015    -0.316985    -1.1514    1005.43
17Z01FEB2015    0.209769    -1.6968    1005.21
18Z01FEB2015    -2.75031    3.94832    1006.72
19Z01FEB2015    -5.04378    4.71282    1008.61
20Z01FEB2015    -5.42603    5.58452    1012.08
21Z01FEB2015    -5.45866    5.39806    1013.37
22Z01FEB2015    -5.17897    5.60783    1013.08
23Z01FEB2015    -6.1206    4.58229    1012.92
00Z02FEB2015    -6.39097    5.09972    1012.79
01Z02FEB2015    -5.56122    5.16965    1011.85
02Z02FEB2015    -0.624646    1.72943    1009.12
03Z02FEB2015    -1.14208    -0.125862    1007.73
04Z02FEB2015    0.722538    -2.23754    1005.11
05Z02FEB2015    1.90191    -1.74342    1003.79
06Z02FEB2015    1.66417    -2.26551    1001.89
07Z02FEB2015    1.03952    -1.33786    999.888
08Z02FEB2015    1.92055    -1.76206    998.061
09Z02FEB2015    2.5452    -1.64552    998.129
10Z02FEB2015    2.94143    -1.69214    999.919
11Z02FEB2015    3.58006    -0.871708    1001.01
12Z02FEB2015    4.83868    -0.843738    1000.9
13Z02FEB2015    4.99251    0.335631    998.981
14Z02FEB2015    5.08574    0.997569    997.787
15Z02FEB2015    4.43312    1.82266    996.594
16Z02FEB2015    2.81557    2.13032    997.458
17Z02FEB2015    -0.219092    0.713215    998.142
18Z02FEB2015    0.713215    2.36806    1000.09
19Z02FEB2015    -1.80868    -0.624646    1002.11
20Z02FEB2015    -1.02554    -0.778477    1003.41
21Z02FEB2015    3.16052    -1.46372    1003.19
22Z02FEB2015    2.34009    -0.853062    1003.34
23Z02FEB2015    1.73875    0.0839077    1003.14
00Z03FEB2015    -0.811108    0.494123    1002.4
01Z03FEB2015    0.867046    0.853062    1000.91
02Z03FEB2015    1.08614    -2.28882    999.167
03Z03FEB2015    1.2726    -2.38205    997.421
04Z03FEB2015    1.91589    -2.39603    996.805
05Z03FEB2015    2.08837    -2.32611    996.426
