tyd    u    v    psl
01Z30JAN2015    9.13662    -4.88995    1009.52
02Z30JAN2015    7.90131    -5.85489    1009.82
03Z30JAN2015    9.16458    -7.16012    1007.45
04Z30JAN2015    10.8707    -7.65425    1009.49
05Z30JAN2015    11.4767    -6.14857    1011.72
06Z30JAN2015    11.9242    -7.6962    1008.16
07Z30JAN2015    10.3533    -5.14634    1009.48
08Z30JAN2015    10.4325    -3.60803    1004.45
09Z30JAN2015    13.29    -3.58938    1000.93
10Z30JAN2015    8.89422    0.0745846    1010.22
11Z30JAN2015    10.5584    0.219092    1018.7
12Z30JAN2015    13.1502    -4.1208    1023.51
13Z30JAN2015    12.0641    -1.49635    1024.1
14Z30JAN2015    10.5864    -1.43109    1020.85
15Z30JAN2015    13.0523    -4.25132    1010.91
16Z30JAN2015    2.63843    -1.23997    1008.35
17Z30JAN2015    9.58878    -0.992908    1004.17
18Z30JAN2015    10.6982    -1.54763    996.327
19Z30JAN2015    9.50022    -1.60357    987.004
20Z30JAN2015    6.82449    -2.75031    994.095
21Z30JAN2015    7.17877    -0.209769    1004.68
22Z30JAN2015    6.40962    -4.03223    1011.64
23Z30JAN2015    5.30483    -2.98338    1009.98
00Z31JAN2015    3.79915    -1.58026    1008.58
01Z31JAN2015    9.68668    -3.28172    1008.88
02Z31JAN2015    10.8381    -1.0908    1014.24
03Z31JAN2015    9.01075    2.82023    1020.82
04Z31JAN2015    3.19315    2.35408    1021.52
05Z31JAN2015    5.10438    3.03932    1018.67
06Z31JAN2015    5.72437    5.18829    1017.35
07Z31JAN2015    2.47994    5.16965    1016.2
08Z31JAN2015    -0.461492    5.16965    1015.56
09Z31JAN2015    -0.671262    6.4842    1014.04
10Z31JAN2015    -0.764492    6.14391    1012.66
11Z31JAN2015    -0.978923    5.53325    1013.24
12Z31JAN2015    -1.16072    4.71282    1018.38
13Z31JAN2015    -1.3332    5.3934    1020.75
14Z31JAN2015    -1.30989    6.05534    1018.35
15Z31JAN2015    -1.41245    6.81983    1013.57
16Z31JAN2015    -1.30057    7.67289    1011.31
17Z31JAN2015    -1.92988    8.33949    1007.27
18Z31JAN2015    -3.26308    6.76389    1009.53
