tyd    u    v    psl
01Z30JAN2015    3.70126    -2.44265    1010.71
02Z30JAN2015    3.2724    -2.28415    1011.03
03Z30JAN2015    2.65242    -3.23045    1008.68
04Z30JAN2015    1.88326    -3.80382    1010.19
05Z30JAN2015    0.927646    -3.29571    1013.38
06Z30JAN2015    0.0279692    -3.79915    1009.27
07Z30JAN2015    -1.59425    -3.79915    1009.73
08Z30JAN2015    -2.17228    -3.47751    1005.1
09Z30JAN2015    -0.643292    -2.56851    1001.49
10Z30JAN2015    4.02757    -3.51946    1010.52
11Z30JAN2015    6.55878    -6.7266    1018.81
12Z30JAN2015    5.76632    -5.64046    1024.25
13Z30JAN2015    8.60986    -6.88975    1024.11
14Z30JAN2015    9.06203    -6.97366    1021.21
15Z30JAN2015    9.18789    -6.72194    1011.61
16Z30JAN2015    9.73329    -6.51683    1008.36
17Z30JAN2015    7.17877    -4.02757    1003.11
18Z30JAN2015    3.44022    -3.20714    996.196
19Z30JAN2015    2.31678    -2.6058    987.116
20Z30JAN2015    1.24463    -0.7272    994.53
21Z30JAN2015    0.936969    0.438185    1005.17
22Z30JAN2015    0.703892    -3.02534    1011.59
23Z30JAN2015    3.77118    -3.26308    1010.56
00Z31JAN2015    1.00223    -2.94143    1008.96
01Z31JAN2015    2.94143    -1.19802    1009.07
02Z31JAN2015    2.57783    -2.95542    1014.19
03Z31JAN2015    -0.480138    -3.19315    1020.49
04Z31JAN2015    -0.330969    -2.64775    1021.75
05Z31JAN2015    0.890354    -2.63843    1017.94
06Z31JAN2015    -0.503446    -1.62222    1016.3
07Z31JAN2015    -0.950954    -2.93211    1014.69
08Z31JAN2015    -0.125862    -2.1816    1014.12
09Z31JAN2015    0.582692    -1.20734    1012.29
10Z31JAN2015    -0.811108    -2.02777    1011.17
11Z31JAN2015    0.200446    -1.33786    1011.9
12Z31JAN2015    0.750508    -1.14674    1017.2
13Z31JAN2015    3.6966    -1.98582    1019.58
14Z31JAN2015    4.07418    -2.08837    1016.94
15Z31JAN2015    1.82266    -1.07682    1011.7
16Z31JAN2015    2.08371    -1.35185    1009.48
17Z31JAN2015    1.07682    -1.38914    1005.18
18Z31JAN2015    0.433523    -1.37515    1006.91
19Z31JAN2015    -2.29348    0.0372923    1013.08
20Z31JAN2015    -3.13722    0.0186462    1017.72
21Z31JAN2015    -2.65242    -0.5454    1016.31
22Z31JAN2015    -3.08128    -0.0233077    1015.66
23Z31JAN2015    -2.29814    0.153831    1014.98
00Z01FEB2015    -3.14188    -1.21666    1016.61
01Z01FEB2015    -1.41711    -2.32145    1015.73
02Z01FEB2015    -1.23065    -1.21666    1016.09
03Z01FEB2015    -0.671262    -0.703892    1013.36
04Z01FEB2015    -1.15606    -1.78071    1011.87
05Z01FEB2015    -1.18403    -1.17471    1010.83
06Z01FEB2015    -1.50102    -0.205108    1008.2
07Z01FEB2015    -1.73409    0.540738    1002.88
08Z01FEB2015    2.83888    -0.932308    1000.7
09Z01FEB2015    -0.955615    3.7572    1002.11
10Z01FEB2015    -0.0233077    2.62911    1007.2
11Z01FEB2015    0.661938    2.57783    1010.36
12Z01FEB2015    0.386908    2.39603    1009.68
13Z01FEB2015    -0.680585    2.95075    1005.03
14Z01FEB2015    -2.34009    4.40515    1002.34
15Z01FEB2015    -1.11877    3.49149    1000.47
16Z01FEB2015    2.04175    2.88549    999.229
17Z01FEB2015    3.71525    1.58026    999.248
18Z01FEB2015    3.11857    -2.15829    999.95
19Z01FEB2015    0.867046    -1.30989    1001.52
20Z01FEB2015    2.69437    -2.91812    1002.97
21Z01FEB2015    3.13722    -2.24686    1005.26
22Z01FEB2015    3.12323    -1.85529    1006.4
23Z01FEB2015    3.82712    -2.22822    1006.2
00Z02FEB2015    1.85529    -1.75274    1006.81
01Z02FEB2015    0.135185    -1.35651    1006.91
02Z02FEB2015    -0.149169    -2.3634    1005.94
03Z02FEB2015    -0.909    -1.80868    1003.35
04Z02FEB2015    -0.573369    -2.21423    1001.75
05Z02FEB2015    -0.932308    -1.38914    999.18
06Z02FEB2015    0.689908    -0.778477    997.358
07Z02FEB2015    2.1816    -1.44508    997.893
08Z02FEB2015    4.51237    -1.68748    1000.88
09Z02FEB2015    3.30503    -1.0908    1003.4
10Z02FEB2015    2.70835    -0.638631    1005.03
11Z02FEB2015    3.64998    -0.191123    1006.38
