tyd    u    v    psl
01Z30JAN2015    2.7876    -1.52432    1009.47
02Z30JAN2015    4.99251    -1.72011    1009.43
03Z30JAN2015    2.63843    -3.18383    1007.04
04Z30JAN2015    7.82672    -3.53345    1008.55
05Z30JAN2015    9.5142    -4.22335    1010.89
06Z30JAN2015    4.35388    -0.219092    1007.37
07Z30JAN2015    3.92968    -1.38448    1008.27
08Z30JAN2015    4.65688    -1.97183    1003.2
09Z30JAN2015    6.13458    -2.24686    999.453
10Z30JAN2015    7.38854    -2.424    1008.43
11Z30JAN2015    8.02717    -2.15829    1016.95
12Z30JAN2015    10.0083    -3.18383    1022.59
13Z30JAN2015    8.36746    -0.107215    1023.02
14Z30JAN2015    8.15303    -1.19802    1020
15Z30JAN2015    5.84091    1.58492    1010.12
16Z30JAN2015    6.87577    0.755169    1007.04
17Z30JAN2015    5.48663    0.619985    1003.39
18Z30JAN2015    2.73166    3.66863    995.954
19Z30JAN2015    0.862385    2.82955    986.736
20Z30JAN2015    0.410215    0.619985    994.226
21Z30JAN2015    4.14877    0.494123    1004.18
22Z30JAN2015    5.6358    -0.326308    1011.17
23Z30JAN2015    -1.34252    0.0419538    1009.66
00Z31JAN2015    -0.638631    0.596677    1008.05
01Z31JAN2015    0.470815    1.63154    1008.22
02Z31JAN2015    3.03    1.85063    1013.76
03Z31JAN2015    1.53831    3.32368    1020.45
04Z31JAN2015    3.03932    3.16518    1021.63
05Z31JAN2015    2.90414    3.80382    1018.35
06Z31JAN2015    2.94143    5.37009    1017.33
07Z31JAN2015    2.98338    5.71505    1015.76
08Z31JAN2015    3.35165    5.54257    1014.95
09Z31JAN2015    3.84111    5.9388    1013.6
10Z31JAN2015    3.61269    6.77322    1011.88
11Z31JAN2015    4.27463    7.08554    1012.62
12Z31JAN2015    4.35388    7.35125    1017.55
13Z31JAN2015    4.26997    6.77788    1020.16
14Z31JAN2015    4.50771    6.54946    1017.84
15Z31JAN2015    4.66154    6.75457    1013.01
16Z31JAN2015    3.61269    6.74991    1010.75
17Z31JAN2015    2.6664    6.33037    1006.79
18Z31JAN2015    3.13722    5.19295    1009.47
19Z31JAN2015    2.61978    5.01582    1015.57
20Z31JAN2015    2.121    4.80138    1019.53
21Z31JAN2015    1.8786    4.61026    1018.86
22Z31JAN2015    1.818    5.56588    1018.3
23Z31JAN2015    1.68748    4.84334    1018.05
00Z01FEB2015    0.764492    -0.00932308    1019.22
01Z01FEB2015    -0.293677    -0.205108    1018.02
02Z01FEB2015    -0.344954    -0.950954    1018.7
03Z01FEB2015    -0.573369    -1.17005    1016.48
04Z01FEB2015    -1.10478    -1.515    1014.62
05Z01FEB2015    -0.708554    -1.65018    1013.61
06Z01FEB2015    -0.568708    -0.214431    1010.57
07Z01FEB2015    -1.01622    0.456831    1004.94
08Z01FEB2015    0    1.20268    1001.58
09Z01FEB2015    -1.85529    5.42137    1003.23
10Z01FEB2015    -0.881031    5.57986    1007.93
11Z01FEB2015    -1.12343    5.16498    1010.87
12Z01FEB2015    -1.65951    5.36543    1009.73
13Z01FEB2015    -1.79003    5.58918    1005.78
14Z01FEB2015    -0.904338    5.39806    1003.57
15Z01FEB2015    -0.550062    4.36786    1001.73
16Z01FEB2015    0.438185    3.5148    1000.52
17Z01FEB2015    2.62445    3.49615    999.546
18Z01FEB2015    2.65242    2.424    1001.57
19Z01FEB2015    -1.96251    -1.04418    1003.33
20Z01FEB2015    -3.54743    -2.86685    1004.49
21Z01FEB2015    -3.83645    -3.07195    1007.49
22Z01FEB2015    -3.29105    -3.36563    1008.99
23Z01FEB2015    -3.40758    -3.88306    1008.96
00Z02FEB2015    -3.03466    -4.38185    1009.11
01Z02FEB2015    -2.75497    -4.1814    1008.79
02Z02FEB2015    -2.80625    -3.90171    1007.39
03Z02FEB2015    -2.68038    -4.32125    1004.79
04Z02FEB2015    -2.00912    -3.78517    1002.73
05Z02FEB2015    -1.6968    -2.79692    999.403
06Z02FEB2015    -1.94852    -2.67106    997.607
07Z02FEB2015    -2.16295    -1.60823    998.017
08Z02FEB2015    -1.93454    -0.881031    1000.4
09Z02FEB2015    -1.49635    0.820431    1002.64
10Z02FEB2015    1.68282    4.02291    1003.97
11Z02FEB2015    2.89482    5.64046    1005.67
12Z02FEB2015    3.96231    6.47954    1006.91
13Z02FEB2015    4.64289    7.41185    1007.18
14Z02FEB2015    4.70815    7.55169    1006.38
15Z02FEB2015    4.78274    7.21606    1004.41
16Z02FEB2015    4.51237    6.73592    1003.82
17Z02FEB2015    3.77118    6.02737    1004.07
18Z02FEB2015    3.55675    5.47265    1003.96
19Z02FEB2015    2.92278    4.97386    1003.59
20Z02FEB2015    2.17694    4.68951    1002.72
21Z02FEB2015    1.44974    4.32125    1002.67
22Z02FEB2015    2.22355    3.18849    1002.88
23Z02FEB2015    2.13498    2.15829    1003.71
00Z03FEB2015    -0.289015    1.14674    1004.32
01Z31JAN2015    4.89928    -4.71282    1011.89
02Z31JAN2015    1.47771    -1.22598    1011.49
03Z31JAN2015    3.25375    -1.64552    1012.41
04Z31JAN2015    3.01135    -2.89948    1010.41
05Z31JAN2015    2.22822    -3.66397    1015.79
06Z31JAN2015    4.27929    -1.26328    1012.8
07Z31JAN2015    2.22355    2.44265    1011.41
08Z31JAN2015    4.63823    4.82935    1013.49
09Z31JAN2015    5.83625    7.74282    1019.46
10Z31JAN2015    5.9388    7.60297    1024.92
11Z31JAN2015    6.41428    7.93394    1027.75
12Z31JAN2015    6.50751    7.99454    1029.19
13Z31JAN2015    5.40272    8.6052    1025.89
14Z31JAN2015    5.13235    8.26025    1023.8
15Z31JAN2015    3.84577    7.23005    1020.31
16Z31JAN2015    4.52169    7.62628    1016.02
17Z31JAN2015    4.17208    7.54703    1014
18Z31JAN2015    1.18403    4.59628    1008.7
19Z31JAN2015    2.20025    3.15586    1003.89
20Z31JAN2015    -1.49635    -0.0839077    1003.28
21Z31JAN2015    -1.64086    -2.77828    1008.7
22Z31JAN2015    -2.51723    -3.47285    1013.1
23Z31JAN2015    -2.98338    -4.36786    1013.82
00Z01FEB2015    -2.34009    -3.55675    1013.85
01Z01FEB2015    -1.89725    -3.05797    1017.32
02Z01FEB2015    -1.47771    -2.41002    1019.88
03Z01FEB2015    -1.23997    -2.25618    1022.5
04Z01FEB2015    -2.08371    -2.87617    1023.81
05Z01FEB2015    -2.63377    -3.23977    1023.46
06Z01FEB2015    -2.54054    -2.82489    1023.34
07Z01FEB2015    -2.49858    -1.59425    1024.05
08Z01FEB2015    -2.96474    -0.633969    1024.15
09Z01FEB2015    -1.28658    1.49169    1020.92
10Z01FEB2015    -1.36583    1.86928    1018.06
11Z01FEB2015    -0.601338    2.61978    1015.82
12Z01FEB2015    -1.23531    4.88995    1015.16
13Z01FEB2015    -0.386908    4.54966    1014.03
14Z01FEB2015    0.358938    5.49595    1013.29
15Z01FEB2015    -0.158492    5.93414    1010.85
16Z01FEB2015    -0.8484    5.14634    1009.29
17Z01FEB2015    -0.0839077    3.46352    1009.25
18Z01FEB2015    2.58715    2.08837    1010.61
19Z01FEB2015    3.81314    1.68748    1013.01
20Z01FEB2015    -4.08817    -3.60803    1016.61
21Z01FEB2015    -4.03223    -4.20005    1018.05
22Z01FEB2015    -3.54277    -4.3632    1017.48
23Z01FEB2015    -3.50548    -4.86198    1017.7
00Z02FEB2015    -3.30969    -4.52169    1016.97
01Z02FEB2015    -3.61269    -4.63357    1015.41
02Z02FEB2015    -3.13722    -4.79206    1012.87
03Z02FEB2015    -2.92278    -5.09506    1010.99
04Z02FEB2015    -3.60803    -5.37942    1008.78
05Z02FEB2015    -3.48683    -4.7268    1006.57
06Z02FEB2015    -3.48683    -3.53345    1004.94
07Z02FEB2015    -4.15809    -3.17917    1002.59
08Z02FEB2015    -4.81071    -2.01378    1000.39
09Z02FEB2015    -5.04378    -1.48237    1000.74
10Z02FEB2015    -2.22355    0.680585    1001.74
11Z02FEB2015    1.2726    3.18383    1002.88
12Z02FEB2015    0.876369    4.59162    1002.54
13Z02FEB2015    2.26085    5.64512    1001.23
14Z02FEB2015    3.72923    5.83158    999.857
15Z02FEB2015    3.11391    6.22315    999.807
16Z02FEB2015    3.25842    5.98075    1000.22
17Z02FEB2015    3.08594    5.23957    1000.86
18Z02FEB2015    3.62202    5.58918    1003.13
19Z02FEB2015    4.08351    4.56831    1005.38
20Z02FEB2015    3.8784    3.92502    1006.66
21Z02FEB2015    2.79692    2.93677    1006.28
22Z02FEB2015    1.9392    0.885692    1006.62
23Z02FEB2015    -1.44508    -2.35408    1006.41
00Z03FEB2015    -3.0906    -3.26308    1004.94
01Z03FEB2015    -3.78517    -3.78051    1003.42
02Z03FEB2015    -3.35165    -3.31902    1001.58
03Z03FEB2015    -2.91812    -3.13255    999.217
04Z03FEB2015    -2.15363    -3.37495    998.21
05Z03FEB2015    -1.82732    -3.10925    997.408
06Z03FEB2015    -2.56851    -2.04642    997.104
07Z03FEB2015    -1.99048    -0.839077    997.495
08Z03FEB2015    -0.461492    0.736523    998.415
09Z03FEB2015    1.90191    3.96697    1000.87
10Z03FEB2015    2.99737    6.29308    1003.26
11Z03FEB2015    3.80848    7.11351    1005.14
12Z03FEB2015    4.02757    7.68222    1006.48
13Z03FEB2015    4.44711    8.10642    1007
14Z03FEB2015    4.67552    7.58432    1006.53
15Z03FEB2015    4.67086    7.11817    1005.31
16Z03FEB2015    4.7268    6.57743    1004.11
17Z03FEB2015    4.40049    5.98542    1002.79
18Z03FEB2015    4.03223    5.36543    1002.65
19Z03FEB2015    3.34232    4.3026    1002.87
20Z03FEB2015    3.02534    3.636    1002.26
21Z03FEB2015    2.9088    3.62202    1002.56
22Z03FEB2015    1.89258    2.77828    1001.93
23Z03FEB2015    1.13275    1.36117    1002.04
00Z04FEB2015    -0.1212    0.4848    1002.73
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
