tyd    u    v    psl
01Z30JAN2015    6.46089    -0.918323    1009.62
02Z30JAN2015    3.87374    -1.51034    1009.66
03Z30JAN2015    5.09972    -1.3332    1007.58
04Z30JAN2015    6.39563    -0.909    1009.19
05Z30JAN2015    6.71728    -0.736523    1011.82
06Z30JAN2015    6.73126    -1.25862    1008.1
07Z30JAN2015    5.58452    -3.01135    1008.89
08Z30JAN2015    7.31395    -2.99271    1003.99
09Z30JAN2015    7.53305    -4.75943    1000.1
10Z30JAN2015    8.96414    -5.00649    1009.53
11Z30JAN2015    5.58452    -3.17917    1018.24
12Z30JAN2015    5.84091    -4.76875    1023.6
13Z30JAN2015    4.6056    -1.92055    1023.89
14Z30JAN2015    5.91083    -3.25842    1020.58
15Z30JAN2015    6.75457    -2.96008    1010.93
16Z30JAN2015    5.59385    -1.68748    1008.02
17Z30JAN2015    5.71971    -0.0885692    1003.99
18Z30JAN2015    6.27443    0.191123    996.389
19Z30JAN2015    5.56588    -1.91589    986.923
20Z30JAN2015    5.6358    -1.71545    994.083
21Z30JAN2015    7.07155    -4.06486    1004.47
22Z30JAN2015    5.88286    -4.09283    1011.33
23Z30JAN2015    5.93414    -1.91123    1009.72
00Z31JAN2015    6.75923    -2.76429    1008.36
01Z31JAN2015    6.06466    -1.11411    1008.6
02Z31JAN2015    7.23937    1.15606    1013.78
03Z31JAN2015    4.21869    2.4846    1020.57
04Z31JAN2015    -2.70835    -1.75274    1021.49
05Z31JAN2015    1.03952    1.28658    1018.17
06Z31JAN2015    -0.298338    1.53365    1016.89
07Z31JAN2015    -0.433523    1.31922    1015.38
08Z31JAN2015    -0.764492    2.07905    1014.65
09Z31JAN2015    -1.26328    4.28395    1013.3
10Z31JAN2015    -1.28658    5.03912    1011.68
11Z31JAN2015    -1.29125    5.37942    1012.59
12Z31JAN2015    -1.20734    5.36543    1017.4
13Z31JAN2015    -1.10478    4.63357    1019.81
14Z31JAN2015    -0.358938    4.26531    1017.81
15Z31JAN2015    -0.0978923    5.21626    1013.18
16Z31JAN2015    -0.531415    4.36786    1010.94
17Z31JAN2015    -2.2422    3.58472    1006.94
18Z31JAN2015    -1.55695    3.49149    1009.51
19Z31JAN2015    -0.992908    3.37495    1015.97
20Z31JAN2015    -1.42177    3.02068    1020.06
21Z31JAN2015    -2.10702    2.99737    1018.97
22Z31JAN2015    -3.02068    3.2724    1018.35
23Z31JAN2015    -3.44954    3.83645    1018.14
00Z01FEB2015    -3.11391    2.61978    1019.09
01Z01FEB2015    -3.93434    1.89258    1018.03
02Z01FEB2015    -2.84354    1.83198    1018.54
03Z01FEB2015    -1.66883    1.60357    1016.77
04Z01FEB2015    -2.01378    1.23997    1014.65
05Z01FEB2015    -2.68038    1.98582    1013.34
06Z01FEB2015    -3.37029    2.17694    1010.32
07Z01FEB2015    -2.80625    2.6664    1004.75
08Z01FEB2015    -3.86442    2.99737    1001.65
09Z01FEB2015    -3.46818    5.72437    1003.16
10Z01FEB2015    -2.95075    5.73835    1007.77
11Z01FEB2015    -3.46818    5.93414    1010.77
12Z01FEB2015    -3.66863    6.34902    1009.73
13Z01FEB2015    -3.84577    6.52615    1005.87
14Z01FEB2015    -3.49615    6.51217    1003.97
15Z01FEB2015    -3.12323    6.00406    1001.85
16Z01FEB2015    -2.91346    5.70572    1000.32
17Z01FEB2015    -2.54054    5.30017    999.969
18Z01FEB2015    -2.62911    3.69194    1001.34
19Z01FEB2015    -1.42177    1.46372    1002.44
