tyd    u    v    psl
01Z30JAN2015    -2.69437    -1.25395    1010.89
02Z30JAN2015    -1.89725    -1.71078    1011.11
03Z30JAN2015    -1.9998    -2.04642    1009.29
04Z30JAN2015    0.839077    -1.52898    1010.87
05Z30JAN2015    -1.71078    -1.64086    1013.42
06Z30JAN2015    2.81091    -1.62222    1010.34
07Z30JAN2015    0.186462    -1.71545    1011.51
08Z30JAN2015    -0.153831    -1.54763    1005.94
09Z30JAN2015    1.23531    -1.74342    1002.01
10Z30JAN2015    1.96717    -2.77828    1011.67
11Z30JAN2015    3.79915    -2.54986    1019.79
12Z30JAN2015    3.333    -1.56162    1025.34
13Z30JAN2015    4.17674    -1.75274    1025.75
14Z30JAN2015    3.44954    -2.50325    1022.84
15Z30JAN2015    1.1514    -1.65951    1012.85
16Z30JAN2015    2.00912    -2.22355    1009.48
17Z30JAN2015    0.745846    -2.84354    1005.08
18Z30JAN2015    1.44042    -2.41934    997.166
19Z30JAN2015    2.10702    -2.25152    988.004
20Z30JAN2015    2.11168    -0.125862    994.872
21Z30JAN2015    1.79935    -1.50568    1005.58
22Z30JAN2015    2.27017    -0.606    1012.1
23Z30JAN2015    0.223754    -0.0978923    1010.51
00Z31JAN2015    1.17471    -0.340292    1009.04
01Z31JAN2015    2.28882    -0.107215    1009.26
02Z31JAN2015    0.694569    0.391569    1015.02
03Z31JAN2015    0.708554    0.321646    1020.95
04Z31JAN2015    0.111877    0.219092    1021.79
05Z31JAN2015    0.149169    -0.135185    1018.07
06Z31JAN2015    1.47771    0.9696    1016.82
07Z31JAN2015    -0.2424    -0.0326308    1015.21
08Z31JAN2015    -1.80868    2.50325    1014.28
09Z31JAN2015    -1.59891    4.3632    1012.37
10Z31JAN2015    -1.28658    3.86908    1011.37
11Z31JAN2015    -0.843738    3.34698    1011.84
12Z31JAN2015    -0.9696    3.87374    1017.04
13Z31JAN2015    1.08614    0.8484    1019.45
14Z31JAN2015    0.736523    0.498785    1017.05
15Z31JAN2015    -1.59891    3.28172    1012.02
16Z31JAN2015    -2.75031    5.07642    1009.53
17Z31JAN2015    -2.70369    6.63803    1005.07
18Z31JAN2015    -2.83422    2.92278    1007.22
19Z31JAN2015    -2.90414    6.77322    1012.7
20Z31JAN2015    -2.5452    5.68708    1017.38
21Z31JAN2015    -2.05574    3.46818    1016.69
22Z31JAN2015    -1.73875    3.79915    1015.95
23Z31JAN2015    -1.5756    1.88792    1015.79
00Z01FEB2015    0.0419538    0.745846    1016.73
01Z01FEB2015    -0.512769    1.27726    1015.97
02Z01FEB2015    -1.40312    0.442846    1016.33
03Z01FEB2015    0.857723    0.885692    1013.98
04Z01FEB2015    -0.270369    -0.414877    1012.49
05Z01FEB2015    0.0885692    -0.372923    1011.15
06Z01FEB2015    0.922985    -0.680585    1008.52
07Z01FEB2015    0.783138    0.153831    1002.99
08Z01FEB2015    1.74342    0.293677    1000.2
09Z01FEB2015    1.37515    0.554723    1001.24
10Z01FEB2015    0.918323    -1.03952    1005.87
11Z01FEB2015    -0.200446    1.41245    1008.89
12Z01FEB2015    -0.876369    2.02311    1008.43
13Z01FEB2015    -3.71991    2.727    1003.16
14Z01FEB2015    -5.01115    2.40535    1001.23
15Z01FEB2015    -3.97163    2.74098    999.521
16Z01FEB2015    -3.74788    3.32834    997.887
17Z01FEB2015    -2.13498    3.73855    997.514
18Z01FEB2015    -1.00689    0.694569    999.366
19Z01FEB2015    0.0466154    1.16072    1001.13
20Z01FEB2015    0.694569    0.703892    1002.6
21Z01FEB2015    0.0885692    0.7878    1004.94
22Z01FEB2015    0.988246    2.52655    1005.97
23Z01FEB2015    3.91569    1.34252    1006.17
00Z02FEB2015    1.79935    1.71545    1006.32
01Z02FEB2015    0.960277    1.39846    1006.63
02Z02FEB2015    1.14674    1.22598    1005.54
03Z02FEB2015    0.0139846    -0.307662    1003.73
04Z02FEB2015    -0.508108    0.699231    1001.49
05Z02FEB2015    -0.0745846    -0.167815    998.776
06Z02FEB2015    0.927646    0.769154    996.942
07Z02FEB2015    1.06283    1.37515    997.924
08Z02FEB2015    0.582692    1.20268    1001.04
09Z02FEB2015    0.843738    1.14208    1003
10Z02FEB2015    0.2424    2.07438    1004.72
11Z02FEB2015    0.130523    2.10702    1006.25
12Z02FEB2015    -0.163154    2.44731    1007.12
13Z02FEB2015    -1.44508    4.02757    1007.46
14Z02FEB2015    -2.04642    6.13458    1006.47
15Z02FEB2015    -2.1816    7.18809    1004.09
16Z02FEB2015    -2.29348    6.969    1003.95
17Z02FEB2015    -2.01378    7.03426    1004.05
18Z02FEB2015    -3.60803    6.31172    1003.09
19Z02FEB2015    -4.45643    5.49129    1002.16
20Z02FEB2015    -4.88063    5.68708    1001.83
21Z02FEB2015    -3.68262    3.90171    1001.84
22Z02FEB2015    0.279692    1.40312    1002.07
23Z02FEB2015    0.233077    0.755169    1002.99
00Z03FEB2015    0.624646    0.736523    1003.18
01Z31JAN2015    -1.94852    -6.05534    1013.61
02Z31JAN2015    0.330969    -2.68038    1012.93
03Z31JAN2015    1.24463    -2.15829    1014.04
04Z31JAN2015    0.2424    -3.3936    1011.57
05Z31JAN2015    1.41711    -0.195785    1017.99
06Z31JAN2015    1.49635    -0.498785    1014.31
07Z31JAN2015    2.12566    -0.223754    1012.36
08Z31JAN2015    2.19558    1.02554    1013.77
09Z31JAN2015    -1.95318    4.57297    1019.77
10Z31JAN2015    -2.16762    6.41428    1025.95
11Z31JAN2015    -2.31678    4.29328    1028.29
12Z31JAN2015    -0.419538    2.82489    1030.09
13Z31JAN2015    -1.26794    4.90394    1026.1
14Z31JAN2015    -1.92988    7.19742    1023.67
15Z31JAN2015    -2.86218    7.26734    1020.31
16Z31JAN2015    -2.58249    8.42806    1015.58
17Z31JAN2015    -2.95542    8.7264    1012.77
18Z31JAN2015    -4.21403    7.92928    1005.85
19Z31JAN2015    -4.64755    5.10905    1000.81
20Z31JAN2015    1.212    1.02088    1000.81
21Z31JAN2015    0.717877    1.37982    1005.53
22Z31JAN2015    -1.02554    1.2726    1009.65
23Z31JAN2015    -0.00466154    0.773815    1010.47
00Z01FEB2015    0.265708    1.13275    1011.37
01Z01FEB2015    -0.251723    1.26328    1015.41
02Z01FEB2015    0.233077    0.116538    1018.3
03Z01FEB2015    0.862385    1.72011    1020.74
04Z01FEB2015    0.978923    -0.2424    1021.24
05Z01FEB2015    1.28192    0.820431    1020.81
06Z01FEB2015    1.74342    0.2424    1020.41
07Z01FEB2015    1.86928    0.825092    1020.97
08Z01FEB2015    1.22598    0.400892    1021.22
09Z01FEB2015    2.58249    0.149169    1018.74
10Z01FEB2015    2.0604    -0.624646    1016.27
11Z01FEB2015    2.63377    -0.829754    1013.86
12Z01FEB2015    2.13498    -0.107215    1013.1
13Z01FEB2015    -0.111877    0.475477    1011.78
14Z01FEB2015    -1.24463    -0.200446    1010.95
15Z01FEB2015    -0.755169    -2.07438    1008.31
16Z01FEB2015    -0.8484    3.58472    1006.12
17Z01FEB2015    -2.16762    4.3632    1005.18
18Z01FEB2015    0.289015    2.34942    1006.83
19Z01FEB2015    0.708554    1.30057    1008.73
20Z01FEB2015    1.01622    0.00932308    1011.95
21Z01FEB2015    -0.335631    2.41934    1012.7
22Z01FEB2015    -0.759831    1.08614    1012.26
23Z01FEB2015    -1.92988    1.44042    1012.77
00Z02FEB2015    0.825092    0.261046    1012.19
01Z02FEB2015    2.49392    1.77605    1010.83
02Z02FEB2015    0.270369    -0.414877    1009.45
03Z02FEB2015    0.0978923    1.3938    1007.23
04Z02FEB2015    -0.386908    0.755169    1005.16
05Z02FEB2015    0.410215    2.70369    1003.67
06Z02FEB2015    1.32854    0.0186462    1001.74
07Z02FEB2015    2.05108    1.52432    999.689
08Z02FEB2015    1.62222    0.0885692    998.241
09Z02FEB2015    2.56385    -0.0978923    998.595
10Z02FEB2015    2.22822    -0.946292    1000.78
11Z02FEB2015    2.25618    -1.36117    1001.42
12Z02FEB2015    4.71282    -2.95542    1001.37
13Z02FEB2015    5.19762    -3.28638    1000.27
14Z02FEB2015    4.24666    -2.14431    998.95
15Z02FEB2015    3.10458    -1.515    998.968
16Z02FEB2015    1.59891    -0.447508    999.161
17Z02FEB2015    1.00223    -0.978923    999.148
18Z02FEB2015    -1.74808    1.74808    1001.16
19Z02FEB2015    0.540738    0.111877    1002.7
20Z02FEB2015    0.405554    -0.167815    1004.03
21Z02FEB2015    2.67572    0.619985    1003.71
22Z02FEB2015    0.344954    0.694569    1003.65
23Z02FEB2015    -0.139846    1.19335    1003.34
00Z03FEB2015    0.153831    -0.559385    1001.82
01Z03FEB2015    -0.517431    0.0699231    1000.81
02Z03FEB2015    -0.741185    0.550062    999.068
03Z03FEB2015    0.0839077    1.07215    997.551
04Z03FEB2015    -0.261046    0.205108    996.55
05Z03FEB2015    -0.223754    -0.200446    996.171
06Z03FEB2015    0.130523    -1.42177    996.569
07Z03FEB2015    1.70146    -0.494123    997.228
08Z03FEB2015    2.35874    -0.0652615    998.825
09Z03FEB2015    3.01135    -0.0139846    1001.11
10Z03FEB2015    3.48217    -0.624646    1003.65
11Z03FEB2015    3.76186    -0.573369    1005.21
12Z03FEB2015    0.778477    1.05351    1006.85
13Z03FEB2015    -2.41468    5.44002    1007.1
14Z03FEB2015    -2.33543    5.95745    1006.04
15Z03FEB2015    -3.25375    5.62648    1005.15
16Z03FEB2015    -3.30969    6.09263    1003.47
17Z03FEB2015    -3.53811    6.05068    1002.59
18Z03FEB2015    -4.73146    5.07175    1001.51
19Z03FEB2015    -4.15809    4.33989    1001.86
20Z03FEB2015    -4.46109    2.25618    1001.57
21Z03FEB2015    -3.37962    1.45906    1001.87
22Z03FEB2015    -2.25618    2.01378    1001.07
23Z03FEB2015    -1.5756    2.5452    1000.88
00Z04FEB2015    0.0372923    0.862385    1001.63
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
