tyd    u    v    psl
01Z30JAN2015    3.19315    -5.30949    1010.29
02Z30JAN2015    1.06749    -4.74545    1010.44
03Z30JAN2015    1.14674    -5.92948    1008.19
04Z30JAN2015    0.685246    -5.35611    1010.58
05Z30JAN2015    0.741185    -3.58472    1012.77
06Z30JAN2015    0.358938    -5.75234    1009.58
07Z30JAN2015    1.9998    -5.98075    1009.81
08Z30JAN2015    1.58492    -5.49595    1005.24
09Z30JAN2015    1.15606    -0.783138    1001.68
10Z30JAN2015    11.5653    -3.636    1010.49
11Z30JAN2015    10.7915    -3.90171    1019.04
12Z30JAN2015    9.48157    -3.71991    1024.5
13Z30JAN2015    11.9895    -4.95522    1024.17
14Z30JAN2015    12.395    -6.25578    1020.84
15Z30JAN2015    11.6911    -4.92725    1011.41
16Z30JAN2015    7.92462    -3.59871    1008.43
17Z30JAN2015    6.80585    -4.29794    1004.56
18Z30JAN2015    9.20654    -3.31435    996.812
19Z30JAN2015    6.22782    -3.01135    987.501
20Z30JAN2015    4.32125    -4.91792    994.617
21Z30JAN2015    1.68748    -0.974262    1005.15
22Z30JAN2015    -1.42643    -2.82955    1012.18
23Z30JAN2015    -0.853062    -3.4542    1010.75
00Z31JAN2015    1.65018    -3.28172    1009.15
01Z31JAN2015    9.00143    -1.58492    1008.72
02Z31JAN2015    -0.0839077    -1.52898    1015
03Z31JAN2015    -0.1818    2.67572    1021.37
04Z31JAN2015    -2.54986    -0.890354    1021.66
05Z31JAN2015    0.368262    0.876369    1018.47
06Z31JAN2015    1.17005    4.63823    1017.45
07Z31JAN2015    2.38671    7.46778    1015.97
08Z31JAN2015    0.0699231    7.79409    1015.19
09Z31JAN2015    -1.00689    9.66803    1013.8
10Z31JAN2015    -0.643292    9.41631    1012.29
11Z31JAN2015    -0.214431    10.0549    1012.93
12Z31JAN2015    0.111877    10.1388    1017.97
13Z31JAN2015    -0.275031    9.22518    1020.25
14Z31JAN2015    -0.293677    9.74728    1018.15
15Z31JAN2015    -0.615323    11.0712    1013.25
16Z31JAN2015    -0.680585    11.7238    1010.6
17Z31JAN2015    -2.00912    11.7331    1006.6
18Z31JAN2015    -2.2422    12.3531    1008.91
19Z31JAN2015    -2.61046    12.3018    1015.07
20Z31JAN2015    -2.41934    11.9755    1019.64
21Z31JAN2015    -2.03709    11.8636    1018.22
22Z31JAN2015    -2.60114    11.8776    1017.66
23Z31JAN2015    -4.34922    11.8356    1017.85
00Z01FEB2015    -4.24666    12.74    1018.39
01Z01FEB2015    -4.97386    12.7074    1017.03
02Z01FEB2015    -6.48886    12.987    1017.4
03Z01FEB2015    -6.31638    12.5815    1015.51
04Z01FEB2015    -5.94812    11.8776    1013.69
05Z01FEB2015    -5.95278    11.9289    1012.46
06Z01FEB2015    -5.30017    12.2692    1009.62
07Z01FEB2015    -5.52392    12.1386    1004.14
08Z01FEB2015    -5.51926    11.6911    1001.45
09Z01FEB2015    -6.00872    11.4767    1003.05
10Z01FEB2015    -5.01115    11.8077    1007.94
11Z01FEB2015    -5.54257    12.9311    1011.29
12Z01FEB2015    -6.07865    12.423    1010.32
13Z01FEB2015    -4.31658    12.6141    1005.91
14Z01FEB2015    -4.25132    12.2832    1003.98
15Z01FEB2015    -4.14411    12.1526    1001.75
16Z01FEB2015    -4.25598    12.1386    1000.75
17Z01FEB2015    -3.35165    11.3182    999.521
18Z01FEB2015    -1.41245    10.6703    1000.21
19Z01FEB2015    -3.55209    12.7913    1002.26
20Z01FEB2015    -4.77808    12.1386    1004.05
21Z01FEB2015    -6.51217    12.0454    1005.67
22Z01FEB2015    -7.18809    12.4743    1007.71
23Z01FEB2015    -7.43982    11.4254    1007.36
