tyd    u    v    psl
01Z30JAN2015    0.857723    -3.18383    1011.36
02Z30JAN2015    0.139846    -2.99737    1011.67
03Z30JAN2015    0.4848    -3.06729    1009.75
04Z30JAN2015    0.978923    -3.16985    1011.47
05Z30JAN2015    0.0699231    -2.32611    1013.8
06Z30JAN2015    0    -2.23288    1010.81
07Z30JAN2015    0.708554    -2.92745    1011.12
08Z30JAN2015    1.57094    -2.67572    1006.22
09Z30JAN2015    1.90191    -1.52898    1001.52
10Z30JAN2015    4.97852    -0.792462    1011.27
11Z30JAN2015    6.53082    -1.97183    1019.67
12Z30JAN2015    7.37922    -2.79692    1024.2
13Z30JAN2015    8.33949    -1.48237    1024.87
14Z30JAN2015    7.04825    -0.680585    1022.49
15Z30JAN2015    7.65425    -1.07215    1012.16
16Z30JAN2015    4.33523    0.163154    1008.7
17Z30JAN2015    3.77585    0.564046    1004.94
18Z30JAN2015    2.39603    -0.745846    997.576
19Z30JAN2015    1.74808    -0.554723    988.62
20Z30JAN2015    1.02554    -0.0652615    994.99
21Z30JAN2015    1.58958    -1.65951    1005.91
22Z30JAN2015    1.60823    -1.33786    1012.76
23Z30JAN2015    0.657277    -1.59425    1011.07
00Z31JAN2015    0.909    -2.07905    1009.61
01Z31JAN2015    0.890354    -2.06506    1009.66
02Z31JAN2015    1.16538    -2.27949    1015.14
03Z31JAN2015    1.515    -1.27726    1021.65
04Z31JAN2015    -1.212    -1.02554    1022.44
05Z31JAN2015    0.223754    -1.54297    1018.25
06Z31JAN2015    0.3636    0.974262    1017.01
07Z31JAN2015    1.06283    1.49635    1015.01
08Z31JAN2015    1.62222    2.28415    1014.19
09Z31JAN2015    0.722538    4.24666    1012.29
10Z31JAN2015    1.06283    5.16498    1010.86
11Z31JAN2015    0.834415    5.77565    1011.41
12Z31JAN2015    0.909    6.33037    1016.43
13Z31JAN2015    0.960277    5.67309    1019.08
14Z31JAN2015    1.34252    5.82692    1016.41
15Z31JAN2015    1.09546    6.48886    1011.9
16Z31JAN2015    1.01622    6.79186    1009.3
17Z31JAN2015    0.811108    6.88043    1005.39
18Z31JAN2015    0.950954    6.98298    1007.56
19Z31JAN2015    1.11411    7.22538    1013.82
20Z31JAN2015    1.35651    9.04805    1018.42
21Z31JAN2015    1.74808    7.60297    1017.32
22Z31JAN2015    0.913662    7.55169    1016.75
23Z31JAN2015    0.480138    7.66357    1016.33
00Z01FEB2015    -0.270369    7.54703    1017.33
01Z01FEB2015    0.0372923    6.16722    1016.26
02Z01FEB2015    0.0885692    5.06709    1016.61
03Z01FEB2015    -0.4848    3.30037    1014.72
04Z01FEB2015    0.3636    3.12323    1012.75
05Z01FEB2015    0.186462    2.79226    1011.65
06Z01FEB2015    0.0932308    3.25842    1008.75
07Z01FEB2015    -0.191123    4.16275    1002.81
08Z01FEB2015    -0.419538    5.39806    999.838
09Z01FEB2015    -0.0606    6.48886    1001.06
10Z01FEB2015    0.843738    6.86645    1006
11Z01FEB2015    0.936969    6.63337    1009.2
12Z01FEB2015    0.806446    6.666    1008.26
13Z01FEB2015    1.06283    6.92238    1003.92
14Z01FEB2015    1.48703    6.92238    1001.8
15Z01FEB2015    1.50102    6.62405    1000.27
16Z01FEB2015    1.50568    6.53082    999.403
17Z01FEB2015    1.89258    5.94812    998.744
18Z01FEB2015    1.54297    3.94366    999.273
19Z01FEB2015    1.53831    2.4846    1000.82
20Z01FEB2015    0.825092    2.00446    1002.11
21Z01FEB2015    0.354277    2.73166    1005.04
22Z01FEB2015    0.661938    2.06972    1006.29
23Z01FEB2015    0.0839077    2.13965    1006.46
00Z02FEB2015    0.638631    0.652615    1006.98
01Z02FEB2015    -0.2424    1.81334    1007.22
02Z02FEB2015    -0.125862    0.992908    1005.76
03Z02FEB2015    -0.00932308    0.191123    1003.93
04Z02FEB2015    -0.2424    -0.0279692    1002.13
05Z02FEB2015    -0.391569    0.130523    999.236
06Z02FEB2015    0.508108    -0.0606    997.228
07Z02FEB2015    0.410215    0.219092    997.943
08Z02FEB2015    0.447508    0.592015    1000.55
09Z02FEB2015    1.55229    0.927646    1002.43
10Z02FEB2015    3.16052    1.89258    1004.5
11Z02FEB2015    4.03689    1.14208    1005.59
12Z02FEB2015    5.16498    1.46838    1005.61
13Z02FEB2015    4.68951    2.54986    1006.94
14Z02FEB2015    3.91569    4.31658    1005.34
15Z02FEB2015    1.65951    6.10195    1003.2
16Z02FEB2015    1.28658    6.17654    1002.84
17Z02FEB2015    1.21666    5.53791    1003.25
18Z02FEB2015    1.36117    5.05777    1003.15
19Z02FEB2015    1.52898    4.70349    1002.3
20Z02FEB2015    1.20268    4.62425    1002.1
21Z02FEB2015    0.992908    4.46575    1001.85
22Z02FEB2015    0.853062    3.64066    1002.06
23Z02FEB2015    0.512769    3.72457    1003.33
00Z03FEB2015    0.764492    3.50548    1003.79
01Z31JAN2015    -0.946292    -5.71971    1014.79
02Z31JAN2015    -1.59425    -4.57297    1014.03
03Z31JAN2015    1.23065    -4.37252    1014.8
04Z31JAN2015    1.21666    -3.85043    1011.77
05Z31JAN2015    2.58715    -3.12789    1017.91
06Z31JAN2015    0.130523    -1.34252    1014.79
07Z31JAN2015    1.28192    -0.582692    1012
08Z31JAN2015    2.3028    0.400892    1013.24
09Z31JAN2015    2.70369    1.19802    1019.15
10Z31JAN2015    3.09526    3.56608    1025.02
11Z31JAN2015    3.37029    3.2118    1027.4
12Z31JAN2015    6.13925    3.12323    1028.81
13Z31JAN2015    5.04845    3.333    1025.09
14Z31JAN2015    4.31192    3.66863    1022.45
15Z31JAN2015    1.97649    4.80605    1019.4
16Z31JAN2015    0.303    6.58675    1014.99
17Z31JAN2015    0.0885692    7.0296    1012.24
18Z31JAN2015    0.419538    6.89442    1006.69
19Z31JAN2015    -0.0186462    6.12526    1001.65
20Z31JAN2015    -0.610662    5.38874    1001.03
21Z31JAN2015    0.139846    4.18606    1005.89
22Z31JAN2015    0.256385    4.16742    1009.91
23Z31JAN2015    -1.42177    3.65931    1010.97
00Z01FEB2015    -0.0932308    1.46838    1012.08
01Z01FEB2015    -0.214431    0.512769    1015.66
02Z01FEB2015    -0.652615    1.65951    1018.32
03Z01FEB2015    0.177138    1.91123    1021.06
04Z01FEB2015    -0.4848    2.52655    1021.92
05Z01FEB2015    -0.713215    3.29571    1021.66
06Z01FEB2015    -0.988246    4.05088    1020.91
07Z01FEB2015    0.158492    5.84091    1021.53
08Z01FEB2015    0.0606    5.59385    1021.58
09Z01FEB2015    -0.596677    5.47731    1018.91
10Z01FEB2015    -0.265708    5.47731    1015.98
11Z01FEB2015    0.652615    4.97386    1013.67
12Z01FEB2015    1.40778    5.23491    1013.05
13Z01FEB2015    0.964938    4.35854    1012.25
14Z01FEB2015    0.652615    4.82003    1011.32
15Z01FEB2015    0.685246    6.17188    1008.68
16Z01FEB2015    1.49635    6.33037    1006.56
17Z01FEB2015    2.06506    5.27686    1006.09
18Z01FEB2015    2.34009    5.29551    1007.48
19Z01FEB2015    2.85752    5.64978    1009.54
20Z01FEB2015    1.31922    5.63114    1012.44
21Z01FEB2015    0.741185    5.50062    1013.29
22Z01FEB2015    -0.0932308    4.88063    1013.23
23Z01FEB2015    -0.461492    4.06486    1013.62
00Z02FEB2015    -0.0885692    4.29794    1013.18
01Z02FEB2015    0.456831    3.51014    1012.02
02Z02FEB2015    -0.657277    2.37738    1009.97
03Z02FEB2015    -0.405554    1.34252    1008.19
04Z02FEB2015    -1.19802    0.592015    1005.85
05Z02FEB2015    -0.619985    0.964938    1004.39
06Z02FEB2015    0.1212    -0.0279692    1002.82
07Z02FEB2015    -0.0839077    0.592015    1000.3
08Z02FEB2015    0.685246    1.44974    998.409
09Z02FEB2015    0.610662    2.14431    998.763
10Z02FEB2015    1.26328    2.3028    1000.45
11Z02FEB2015    1.68748    2.81091    1001.57
12Z02FEB2015    1.57094    4.03689    1001.11
13Z02FEB2015    1.1514    5.36543    999.975
14Z02FEB2015    1.04418    5.6964    998.807
15Z02FEB2015    0.764492    5.88752    998.515
16Z02FEB2015    0.843738    6.34902    999.298
17Z02FEB2015    0.517431    5.54723    999.459
18Z02FEB2015    0.466154    5.11371    1000.7
19Z02FEB2015    0.717877    5.18363    1003.53
20Z02FEB2015    0.853062    4.56831    1004.66
21Z02FEB2015    1.06749    3.35631    1003.78
22Z02FEB2015    0.773815    2.62445    1003.68
23Z02FEB2015    -0.00932308    2.39137    1003.82
00Z03FEB2015    0.578031    2.94143    1002.51
01Z03FEB2015    0.130523    2.31212    1001.32
02Z03FEB2015    -0.480138    1.72477    999.981
03Z03FEB2015    -0.358938    -0.1212    998.49
04Z03FEB2015    -0.512769    0.135185    997.228
05Z03FEB2015    -0.275031    -0.717877    996.793
06Z03FEB2015    0.135185    0.494123    996.886
