tyd    u    v    psl
01Z30JAN2015    5.45866    0.410215    1010.26
02Z30JAN2015    3.67329    0.661938    1010.27
03Z30JAN2015    4.34922    0.750508    1008.29
04Z30JAN2015    4.52169    0.442846    1009.8
05Z30JAN2015    5.30483    0.778477    1012.56
06Z30JAN2015    5.39806    0.191123    1009.11
07Z30JAN2015    5.13235    0.652615    1009.96
08Z30JAN2015    6.76389    0.647954    1005.1
09Z30JAN2015    8.47002    0.00932308    1001.44
10Z30JAN2015    9.62142    0.237738    1010.72
11Z30JAN2015    11.4068    -3.70126    1018.92
12Z30JAN2015    11.0991    -1.9998    1024.32
13Z30JAN2015    11.6911    -1.17471    1025.12
14Z30JAN2015    11.1737    -1.70612    1022.31
15Z30JAN2015    12.1853    -2.47994    1012.18
16Z30JAN2015    10.4325    -0.601338    1009.07
17Z30JAN2015    9.82652    -0.247062    1004.84
18Z30JAN2015    5.99474    -0.862385    997.023
19Z30JAN2015    7.16012    2.44265    987.762
20Z30JAN2015    2.11634    2.39603    995.233
21Z30JAN2015    3.33766    -0.0839077    1005.16
22Z30JAN2015    1.66417    1.25862    1012
23Z30JAN2015    1.59425    0.675923    1010.31
00Z31JAN2015    2.25152    -0.256385    1009.2
01Z31JAN2015    6.01338    1.62222    1009.2
02Z31JAN2015    4.53568    -0.978923    1014.69
03Z31JAN2015    6.53082    -1.33786    1020.43
04Z31JAN2015    1.8786    -0.960277    1021.59
05Z31JAN2015    -1.24929    0.638631    1018.07
06Z31JAN2015    0.0512769    0.885692    1016.72
07Z31JAN2015    -2.25618    1.53831    1015.55
08Z31JAN2015    -2.3634    1.2726    1015.08
09Z31JAN2015    -3.04865    2.9694    1013.41
10Z31JAN2015    -2.86685    3.51946    1012.26
11Z31JAN2015    -3.01135    3.23977    1012.81
12Z31JAN2015    -2.99737    3.52412    1017.79
13Z31JAN2015    -3.38894    3.46818    1020.31
14Z31JAN2015    -2.20025    2.31678    1018.16
15Z31JAN2015    -3.56142    4.04155    1013.09
