tyd    u    v    psl
01Z30JAN2015    3.24909    -3.61735    1011.57
02Z30JAN2015    3.75254    -4.50771    1011.39
03Z30JAN2015    2.00446    -5.26754    1009.6
04Z30JAN2015    1.77138    -5.44934    1011.43
05Z30JAN2015    2.26085    -4.39583    1013.32
06Z30JAN2015    2.16295    -6.81051    1010.88
07Z30JAN2015    2.51257    -6.39097    1010.68
08Z30JAN2015    2.86218    -5.49129    1006.69
09Z30JAN2015    3.77585    -3.67795    1002.58
10Z30JAN2015    5.74768    -1.46372    1012.41
11Z30JAN2015    5.83158    -3.39826    1020.87
12Z30JAN2015    5.52858    -4.66154    1025.63
13Z30JAN2015    7.16012    -4.11614    1025.75
14Z30JAN2015    6.89908    -3.70592    1023.08
15Z30JAN2015    6.68931    -4.34922    1012.85
16Z30JAN2015    4.34455    -3.11391    1008.97
17Z30JAN2015    3.2724    -2.45197    1004.82
18Z30JAN2015    1.80868    -2.48926    997.675
19Z30JAN2015    2.65708    -2.75963    988.415
20Z30JAN2015    2.79692    -2.73632    994.879
21Z30JAN2015    3.47751    -2.68505    1005.81
22Z30JAN2015    2.92745    -2.70369    1012.52
23Z30JAN2015    1.31455    -3.23045    1010.95
00Z31JAN2015    1.7574    -3.23045    1009.65
01Z31JAN2015    3.58006    -1.54297    1010.08
02Z31JAN2015    5.19295    -0.862385    1015.26
03Z31JAN2015    4.45177    0.568708    1021.16
04Z31JAN2015    -0.522092    -0.4242    1021.7
05Z31JAN2015    0.0279692    -1.55695    1018.12
06Z31JAN2015    1.00223    1.59891    1016.96
07Z31JAN2015    0.769154    5.69174    1015.65
08Z31JAN2015    0.447508    7.05757    1014.41
09Z31JAN2015    0.778477    8.9688    1013.31
10Z31JAN2015    0.228415    9.31842    1012.44
11Z31JAN2015    1.38914    9.67735    1012.44
12Z31JAN2015    2.20491    9.96171    1017.76
13Z31JAN2015    1.21666    9.41165    1020.44
14Z31JAN2015    1.96717    9.19722    1017.84
15Z31JAN2015    2.41002    10.6376    1012.65
16Z31JAN2015    1.17937    11.5932    1009.95
17Z31JAN2015    0.321646    12.7493    1005.71
18Z31JAN2015    -0.139846    12.8565    1008.3
19Z31JAN2015    -0.139846    13.4485    1014.64
20Z31JAN2015    0.247062    13.346    1019.07
21Z31JAN2015    0.647954    12.726    1018.08
22Z31JAN2015    0.741185    12.3391    1017.05
23Z31JAN2015    -0.801785    13.7609    1017.06
00Z01FEB2015    -2.74098    11.7657    1017.69
01Z01FEB2015    -1.82266    11.6725    1017.25
02Z01FEB2015    -0.825092    11.9802    1017.24
03Z01FEB2015    -0.778477    11.1737    1014.83
04Z01FEB2015    -0.228415    5.92482    1013.21
05Z01FEB2015    -2.00912    11.3881    1012.29
06Z01FEB2015    -1.89725    12.9777    1008.93
07Z01FEB2015    -2.20025    10.8148    1003.35
08Z01FEB2015    -2.24686    12.6095    1000.75
09Z01FEB2015    -2.13032    12.2459    1002.6
10Z01FEB2015    0.326308    12.437    1007.28
11Z01FEB2015    0    13.663    1010.27
12Z01FEB2015    0.946292    13.7842    1009.85
13Z01FEB2015    0.470815    13.3646    1005.15
14Z01FEB2015    1.0302    13.0337    1003.04
15Z01FEB2015    1.10478    12.6514    1001.34
16Z01FEB2015    2.03709    11.5979    999.925
17Z01FEB2015    1.61755    10.591    998.906
18Z01FEB2015    2.25152    12.6934    1000.22
19Z01FEB2015    -0.410215    13.7888    1001.7
20Z01FEB2015    0.675923    12.2505    1003.03
21Z01FEB2015    -2.40069    9.58878    1005.25
22Z01FEB2015    -0.172477    9.79389    1006.53
23Z01FEB2015    -1.66883    6.77788    1007.09
00Z02FEB2015    3.58472    3.49149    1007.23
01Z02FEB2015    -5.78963    3.74322    1007.05
02Z02FEB2015    -4.58229    -0.685246    1005.96
03Z02FEB2015    2.49858    -1.0908    1003.61
04Z02FEB2015    0.233077    -0.680585    1001.4
05Z02FEB2015    -1.58026    2.68505    998.875
06Z02FEB2015    -1.81334    3.12789    997.172
07Z02FEB2015    0.177138    1.04418    997.744
08Z02FEB2015    0.764492    7.30463    1000.66
09Z02FEB2015    1.37049    6.45623    1002.67
10Z02FEB2015    2.59182    4.95988    1004.64
11Z02FEB2015    2.65708    5.40738    1006.66
12Z02FEB2015    3.31435    7.00163    1008.37
13Z02FEB2015    4.15809    7.74282    1007.2
14Z02FEB2015    3.57074    8.19498    1006.58
15Z02FEB2015    3.78051    9.11797    1004.85
16Z02FEB2015    3.64532    9.47225    1003.58
17Z02FEB2015    3.25842    8.97346    1004.19
18Z02FEB2015    2.55918    8.72174    1004
19Z02FEB2015    3.06729    9.34172    1003.54
20Z02FEB2015    1.20734    10.1342    1002.69
21Z02FEB2015    0.130523    9.70066    1002.11
22Z02FEB2015    -0.3636    9.0294    1002.45
23Z02FEB2015    0.358938    9.09932    1003.29
00Z03FEB2015    0.461492    8.16702    1004.21
01Z31JAN2015    0.7878    -9.44894    1014
02Z31JAN2015    -1.16538    -7.94326    1013.72
03Z31JAN2015    -0.559385    -7.19742    1014.82
04Z31JAN2015    -0.955615    -6.12992    1010.9
05Z31JAN2015    2.02777    -2.71768    1017.97
06Z31JAN2015    0.839077    -2.51723    1014.17
07Z31JAN2015    1.29125    -0.111877    1011.5
08Z31JAN2015    0.0839077    3.73855    1013.54
09Z31JAN2015    2.47528    7.65425    1019.48
10Z31JAN2015    2.74098    8.47934    1025.74
11Z31JAN2015    1.88792    8.26491    1028.76
12Z31JAN2015    3.49149    6.91772    1030.25
13Z31JAN2015    3.77585    7.91995    1026.02
14Z31JAN2015    2.35874    8.94549    1023.95
15Z31JAN2015    2.87617    9.43029    1020.39
16Z31JAN2015    2.4846    9.97103    1015.21
17Z31JAN2015    0.6666    11.3928    1012.5
18Z31JAN2015    -1.1514    12.1853    1006.8
19Z31JAN2015    -1.14674    11.9102    1002.55
20Z31JAN2015    -2.05574    11.4954    1001.62
21Z31JAN2015    -1.02554    9.88712    1006.27
22Z31JAN2015    -1.51966    12.3065    1010.37
23Z31JAN2015    -1.95785    8.58655    1011.62
00Z01FEB2015    -4.59628    4.1208    1012.95
01Z01FEB2015    0.163154    4.28862    1015.94
02Z01FEB2015    -2.25152    2.82023    1018.37
03Z01FEB2015    -1.44974    1.515    1021.29
04Z01FEB2015    -0.405554    -0.0745846    1021.69
05Z01FEB2015    -7.59365    5.12303    1021.28
06Z01FEB2015    0.522092    1.49169    1020.64
07Z01FEB2015    0.228415    0.685246    1021.79
08Z01FEB2015    1.21666    3.14188    1021.9
09Z01FEB2015    -3.61269    5.151    1019.19
10Z01FEB2015    -1.72011    6.28375    1016.66
11Z01FEB2015    -1.00689    1.65018    1014.77
12Z01FEB2015    -0.209769    7.51906    1014.32
13Z01FEB2015    1.02554    6.6054    1013.06
14Z01FEB2015    -0.321646    6.81517    1012.5
15Z01FEB2015    -0.139846    10.6656    1009.55
16Z01FEB2015    -2.02777    9.42563    1007.31
17Z01FEB2015    -2.09303    9.48623    1006.76
18Z01FEB2015    -2.31678    9.62608    1008.07
19Z01FEB2015    1.10478    9.65405    1009.85
20Z01FEB2015    -8.67046    11.3508    1013.33
