tyd    u    v    psl
01Z30JAN2015    2.95542    -0.447508    1010.39
02Z30JAN2015    2.88549    0.3636    1009.93
03Z30JAN2015    3.30503    -0.0745846    1008.19
04Z30JAN2015    3.37495    0.526754    1010.03
05Z30JAN2015    2.94609    -0.354277    1012.29
06Z30JAN2015    3.60337    -0.0978923    1008.97
07Z30JAN2015    4.24666    -0.2424    1009.8
08Z30JAN2015    3.50548    -1.10012    1004.78
09Z30JAN2015    4.42846    0.149169    1001.22
10Z30JAN2015    5.8176    -0.344954    1010.7
11Z30JAN2015    4.9692    -3.36097    1019.12
12Z30JAN2015    4.74545    -3.46818    1024.07
13Z30JAN2015    5.31415    -3.67329    1024.24
14Z30JAN2015    5.78497    -3.37962    1021.61
15Z30JAN2015    7.43982    -3.86442    1011.16
16Z30JAN2015    6.31638    -4.08817    1007.96
17Z30JAN2015    5.35611    -2.45663    1004.29
18Z30JAN2015    2.00446    -0.228415    996.625
19Z30JAN2015    1.71078    -1.34252    987.694
20Z30JAN2015    2.43332    -0.0419538    994.344
21Z30JAN2015    1.37515    -1.13275    1005.07
22Z30JAN2015    0.918323    -0.7272    1011.78
23Z30JAN2015    0.470815    -0.741185    1010.67
00Z31JAN2015    0.955615    -0.750508    1008.76
01Z31JAN2015    1.19335    -0.9696    1008.75
02Z31JAN2015    1.92055    -0.731862    1014.51
03Z31JAN2015    2.96474    -0.7272    1019.98
04Z31JAN2015    1.2726    -1.03486    1021.34
05Z31JAN2015    -0.0466154    -0.512769    1016.91
06Z31JAN2015    1.14208    0.372923    1015.76
07Z31JAN2015    0.330969    1.9392    1014.32
08Z31JAN2015    -0.834415    1.31455    1013.53
09Z31JAN2015    0.149169    1.3938    1011.88
10Z31JAN2015    0.531415    1.42177    1010.05
11Z31JAN2015    0.778477    1.0908    1010.81
12Z31JAN2015    0.438185    2.82955    1015.38
13Z31JAN2015    0.396231    2.34009    1018.32
14Z31JAN2015    0.494123    3.82246    1015.84
15Z31JAN2015    -1.47771    1.95318    1011.42
16Z31JAN2015    -2.95542    2.50791    1009.3
17Z31JAN2015    -3.18849    1.88792    1004.81
18Z31JAN2015    -3.55675    2.53588    1007.46
19Z31JAN2015    -4.04155    2.60114    1013.48
20Z31JAN2015    -4.242    2.27483    1017.83
21Z31JAN2015    -3.68262    2.02777    1016.78
22Z31JAN2015    -3.8178    2.51723    1015.99
23Z31JAN2015    -3.83645    2.75963    1016.17
00Z01FEB2015    -3.61269    2.10235    1016.68
01Z01FEB2015    -3.22112    2.11168    1015.58
02Z01FEB2015    -3.35165    2.1816    1016.22
03Z01FEB2015    -3.5148    2.09303    1014.13
04Z01FEB2015    -4.53102    2.69903    1012.42
05Z01FEB2015    -3.19315    2.71768    1011.11
06Z01FEB2015    -2.64309    2.97406    1008.63
07Z01FEB2015    -3.54277    3.59405    1002.94
08Z01FEB2015    -4.02757    3.56608    1000.72
09Z01FEB2015    -5.43069    5.88752    1001.59
10Z01FEB2015    -4.80138    6.39097    1006.87
11Z01FEB2015    -5.24889    6.83382    1009.5
12Z01FEB2015    -4.85266    6.55878    1008.39
13Z01FEB2015    -4.62425    6.37698    1003.97
14Z01FEB2015    -4.12546    6.56811    1001.8
15Z01FEB2015    -3.86442    5.78031    1000.11
16Z01FEB2015    -4.41914    5.6358    999.254
17Z01FEB2015    -5.24423    5.11837    998.446
18Z01FEB2015    -6.51217    4.61026    1000.25
19Z01FEB2015    -6.94569    3.91569    1001.49
20Z01FEB2015    -2.94143    2.47062    1002.97
21Z01FEB2015    -3.57074    2.99737    1005.16
22Z01FEB2015    -4.61492    2.47528    1006.66
23Z01FEB2015    -4.23734    3.92502    1006.61
00Z02FEB2015    -3.5148    3.01602    1007.12
01Z02FEB2015    -2.14431    1.5756    1006.11
02Z02FEB2015    -2.40535    1.17471    1005.12
03Z02FEB2015    -1.04885    1.49635    1003.53
04Z02FEB2015    -0.139846    1.66883    1001.08
05Z02FEB2015    -0.540738    0.834415    998.943
06Z02FEB2015    0.955615    1.26794    996.936
07Z02FEB2015    2.32145    1.51034    997.265
08Z02FEB2015    2.85752    1.38448    1000.43
09Z02FEB2015    2.62445    0.559385    1002.67
10Z02FEB2015    3.70592    -1.17005    1004.09
11Z02FEB2015    3.7572    -1.49169    1005.09
12Z02FEB2015    4.02291    -1.76672    1005.72
13Z02FEB2015    4.12546    -0.731862    1006.12
14Z02FEB2015    3.47751    1.91123    1005.05
15Z02FEB2015    -0.592015    5.47265    1003.01
16Z02FEB2015    -0.386908    2.52189    1002.59
17Z02FEB2015    -2.26085    2.54054    1003.14
18Z02FEB2015    -3.00669    1.47305    1003.18
19Z02FEB2015    -3.02534    1.72011    1002.78
20Z02FEB2015    -2.68505    1.71545    1001.35
21Z02FEB2015    -2.75031    0.9696    1001.62
22Z02FEB2015    -2.55452    0.797123    1001.76
23Z02FEB2015    -2.42866    1.3332    1002.65
00Z03FEB2015    -2.09303    1.28658    1003.5
01Z31JAN2015    3.30037    -4.02291    1013.75
02Z31JAN2015    3.06729    -4.38185    1012.32
03Z31JAN2015    4.50771    -1.81334    1012.66
04Z31JAN2015    3.31902    -1.3938    1009.91
05Z31JAN2015    2.61978    -0.279692    1016.51
06Z31JAN2015    2.34942    -0.508108    1013.85
07Z31JAN2015    3.13255    -0.321646    1010.67
08Z31JAN2015    4.6662    -1.28658    1012.98
09Z31JAN2015    4.545    -1.12343    1018.94
10Z31JAN2015    4.84334    -2.17694    1024.56
11Z31JAN2015    5.05311    -3.10458    1026.74
12Z31JAN2015    6.23248    -2.97406    1028.2
13Z31JAN2015    6.9084    -2.74098    1024.08
14Z31JAN2015    5.29551    -1.48237    1021.87
15Z31JAN2015    3.46352    -1.17471    1018.12
16Z31JAN2015    -2.94143    4.27929    1014.25
17Z31JAN2015    -5.08574    4.66154    1012
18Z31JAN2015    -7.56102    4.81537    1006.17
19Z31JAN2015    -8.15769    4.94123    1002.1
20Z31JAN2015    -6.94569    4.11614    1001.08
21Z31JAN2015    -4.43312    4.01358    1006.02
22Z31JAN2015    -4.35854    4.32591    1009.99
23Z31JAN2015    -4.60094    3.62202    1010.81
00Z01FEB2015    -3.36563    2.17228    1011.19
01Z01FEB2015    -2.50791    1.72477    1014.94
02Z01FEB2015    -1.20268    2.45197    1017.26
03Z01FEB2015    -0.522092    1.29591    1020.41
04Z01FEB2015    -0.657277    2.13032    1021.14
05Z01FEB2015    -3.03466    2.41468    1021.23
06Z01FEB2015    -3.41691    3.11857    1020.61
07Z01FEB2015    -3.82246    3.62202    1021.36
08Z01FEB2015    -4.50771    4.30726    1022.13
09Z01FEB2015    -4.3632    3.95765    1018.88
10Z01FEB2015    -7.17877    6.05534    1016.43
11Z01FEB2015    -6.02271    5.94346    1014.18
12Z01FEB2015    -5.53325    5.82226    1013.76
13Z01FEB2015    -4.47508    5.45866    1012.34
14Z01FEB2015    -3.72457    5.151    1011.13
15Z01FEB2015    -4.28862    6.22315    1008.99
16Z01FEB2015    -5.87354    6.99231    1007.03
17Z01FEB2015    -7.00629    7.48177    1006.88
18Z01FEB2015    -7.64026    6.3024    1008.52
19Z01FEB2015    -9.43029    6.62871    1010.31
20Z01FEB2015    -10.0782    6.31172    1013.87
21Z01FEB2015    -8.59588    5.56122    1014.56
22Z01FEB2015    -4.9692    3.32368    1013.8
23Z01FEB2015    -6.50751    4.83868    1013.97
00Z02FEB2015    -4.82003    4.52169    1013.23
01Z02FEB2015    -3.60803    3.03932    1011.62
02Z02FEB2015    -4.17208    3.08594    1008.83
03Z02FEB2015    -4.16742    2.24686    1007.64
