tyd    u    v    psl
01Z30JAN2015    2.07905    -3.42157    1011.24
02Z30JAN2015    1.95318    -2.55918    1011.26
03Z30JAN2015    1.43575    -2.49392    1009.31
04Z30JAN2015    -0.186462    -1.62688    1011.47
05Z30JAN2015    -1.36117    0.139846    1013.89
06Z30JAN2015    -1.40778    -2.06972    1010.76
07Z30JAN2015    1.53365    -2.27017    1010.85
08Z30JAN2015    2.70835    -1.80402    1006.32
09Z30JAN2015    3.79915    -0.871708    1001.88
10Z30JAN2015    6.06466    -1.29125    1011.76
11Z30JAN2015    5.98075    -1.515    1020.36
12Z30JAN2015    6.11128    -1.85995    1025.08
13Z30JAN2015    7.6356    -1.27726    1025.28
14Z30JAN2015    6.62405    -0.279692    1022.57
15Z30JAN2015    6.33969    -1.19335    1012.09
16Z30JAN2015    4.59628    0.647954    1008.86
17Z30JAN2015    3.78517    0.237738    1004.92
18Z30JAN2015    2.53588    -0.386908    997.607
19Z30JAN2015    2.97406    -1.30057    988.601
20Z30JAN2015    0.647954    -0.895015    995.351
21Z30JAN2015    1.31455    -0.750508    1006.13
22Z30JAN2015    1.13742    -1.5756    1012.72
23Z30JAN2015    0.3636    -2.25618    1010.94
00Z31JAN2015    -0.298338    -2.46595    1009.57
01Z31JAN2015    1.40312    -0.344954    1009.94
02Z31JAN2015    2.25152    -0.918323    1015.15
03Z31JAN2015    1.94852    -1.12343    1021.49
04Z31JAN2015    -0.433523    -1.89725    1022.55
05Z31JAN2015    -2.28882    -1.7574    1018.11
06Z31JAN2015    0.0932308    0.303    1016.78
07Z31JAN2015    2.27483    1.88326    1015.06
08Z31JAN2015    2.82955    2.11168    1014.5
09Z31JAN2015    1.72011    3.86442    1012.56
10Z31JAN2015    2.08837    4.78274    1011.09
11Z31JAN2015    2.29348    5.71505    1011.68
12Z31JAN2015    2.34942    5.70572    1017.01
13Z31JAN2015    2.29814    4.98318    1019.3
14Z31JAN2015    3.10925    4.57297    1016.48
15Z31JAN2015    2.73166    5.73835    1011.77
16Z31JAN2015    1.40312    6.37698    1009.46
17Z31JAN2015    0.289015    5.57986    1005.48
18Z31JAN2015    -0.125862    5.27686    1007.82
19Z31JAN2015    -0.00932308    4.84334    1014.23
20Z31JAN2015    0.619985    4.88529    1018.68
21Z31JAN2015    0.741185    4.39583    1017.58
22Z31JAN2015    0.503446    4.50771    1017.04
