tyd    u    v    psl
01Z30JAN2015    2.85752    -5.31415    1011.07
02Z30JAN2015    3.19782    -5.3328    1011.31
03Z30JAN2015    3.52412    -5.20694    1009.43
04Z30JAN2015    3.18383    -4.67552    1011.16
05Z30JAN2015    2.6058    -3.19782    1013.68
06Z30JAN2015    0.988246    -3.38894    1010.6
07Z30JAN2015    1.99514    -3.333    1011.09
08Z30JAN2015    1.68282    -3.11391    1006.2
09Z30JAN2015    3.01602    -1.65485    1001.62
10Z30JAN2015    5.9388    -2.88083    1011.41
11Z30JAN2015    6.24646    -3.01602    1019.97
12Z30JAN2015    6.13925    -2.2422    1024.36
13Z30JAN2015    6.05534    -1.51966    1025.09
14Z30JAN2015    6.74058    -1.32854    1022.69
15Z30JAN2015    6.93171    -1.0302    1012.27
16Z30JAN2015    7.43515    -1.65951    1008.76
17Z30JAN2015    4.01825    -1.79469    1004.9
18Z30JAN2015    3.69194    -1.95785    997.47
19Z30JAN2015    2.75031    -2.23754    988.433
20Z30JAN2015    1.55695    -2.121    994.953
21Z30JAN2015    2.38671    -2.1816    1005.65
22Z30JAN2015    -0.172477    -1.21666    1012.57
23Z30JAN2015    -0.223754    -2.27949    1011.03
00Z31JAN2015    1.61755    -2.22822    1009.45
01Z31JAN2015    3.05331    -0.461492    1009.89
02Z31JAN2015    0.988246    -0.1212    1014.98
03Z31JAN2015    -0.2424    -1.11877    1021.45
04Z31JAN2015    -1.03952    -1.90657    1022.28
05Z31JAN2015    1.46838    -3.06263    1018.07
06Z31JAN2015    -0.4848    1.3938    1016.92
07Z31JAN2015    0.624646    2.77828    1015.3
08Z31JAN2015    0.699231    4.44711    1014.39
09Z31JAN2015    0.340292    5.95745    1012.49
10Z31JAN2015    0.904338    7.16478    1011.39
11Z31JAN2015    0.717877    7.50974    1011.81
12Z31JAN2015    0.876369    7.65891    1016.94
13Z31JAN2015    0.806446    6.97832    1019.42
14Z31JAN2015    0.680585    6.88975    1016.68
15Z31JAN2015    0.615323    8.10175    1012.45
16Z31JAN2015    0.629308    8.74971    1009.71
17Z31JAN2015    0.592015    8.72174    1005.57
18Z31JAN2015    1.62222    9.24383    1007.94
19Z31JAN2015    2.08371    8.83362    1014.26
20Z31JAN2015    2.15363    8.45603    1018.5
21Z31JAN2015    1.95785    8.20431    1017.26
22Z31JAN2015    1.85995    8.00386    1016.48
23Z31JAN2015    1.58958    7.70086    1016.56
00Z01FEB2015    1.30989    6.87577    1017.55
01Z01FEB2015    1.48703    6.63803    1016.32
02Z01FEB2015    0.820431    6.12526    1016.52
03Z01FEB2015    0.736523    4.47974    1014.56
04Z01FEB2015    1.53831    4.79672    1012.96
05Z01FEB2015    0.382246    4.74545    1011.7
