x,y,latitude,longitude
512770.7656,194265.7578	 , '34.38182S', '19.13823E'
510981.625,195728.3555	 , '34.36866S', '19.11876E'
509299.2578,197139.0742	 , '34.35595S', '19.10045E'
507713.7031,198493.6133	 , '34.34376S', '19.08321E'
506335.6641,199690.5117	 , '34.33298S', '19.06822E'
530467.3594,174098.2539	 , '34.56325S', '19.33136E'
529392.0781,175525.9844	 , '34.55041S', '19.31960E'
528314.7344,176966.2813	 , '34.53746S', '19.30781E'
527232.375,178426.8516	 , '34.52432S', '19.29597E'
526154.2344,179905.9453	 , '34.51102S', '19.28419E'
524914.4688,181583.375	 , '34.49592S', '19.27064E'
523406.6641,183474.0391	 , '34.47892S', '19.25417E'
521721.8047,185374.5313	 , '34.46182S', '19.23578E'
519918.3828,187227.0273	 , '34.44516S', '19.21611E'
518057.2813,189002.957	 , '34.42918S', '19.19582E'
516185.2266,190695.6914	 , '34.41395S', '19.17542E'
514306.7891,192325.3984	 , '34.39929S', '19.15496E'
512454.3047,193886.1055	 , '34.38525S', '19.13479E'
510681.2578,195370.7617	 , '34.37188S', '19.11550E'
509005.8438,196797.1719	 , '34.35904S', '19.09727E'
507425.1406,198164.5664	 , '34.34672S', '19.08007E'
506036.8828,199403.7383	 , '34.33556S', '19.06498E'
529704.625,173532.582	 , '34.56837S', '19.32307E'
528650.7188,174979.457	 , '34.55536S', '19.31154E'
527594.5156,176439.0469	 , '34.54223S', '19.29998E'
526532.1563,177919.6992	 , '34.52891S', '19.28836E'
525471,179421.2539	 , '34.51540S', '19.27676E'
524265.3281,181106.0273	 , '34.50024S', '19.26358E'
522815.2344,182991.1055	 , '34.48328S', '19.24774E'
521192.4219,184895.3398	 , '34.46615S', '19.23003E'
519446.9063,186761.8516	 , '34.44936S', '19.21099E'
517635.4297,188558.8047	 , '34.43319S', '19.19124E'
515804.2734,190275.9102	 , '34.41774S', '19.17129E'
513960.8594,191929.7422	 , '34.40286S', '19.15121E'
512135.8828,193514.2617	 , '34.38860S', '19.13134E'
510380.3906,195019.5391	 , '34.37505S', '19.11223E'
508712.9609,196460.3398	 , '34.36208S', '19.09409E'
507135.4531,197838.1406	 , '34.34967S', '19.07693E'
505737.5938,199097.4531	 , '34.33833S', '19.06172E'
504560.2969,200201.5742	 , '34.32838S', '19.04892E'
528946.9531,172988.4023	 , '34.57330S', '19.31483E'
